DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,55.0,5.0,17.0,19.0,0.0,0.0
2010-01-02,52.0,10.0,29.0,19.0,0.0,0.0
2010-01-03,53.0,16.0,18.0,21.0,0.0,0.0
2010-01-04,64.0,9.0,16.0,13.0,0.0,0.0
2010-01-05,52.0,9.0,14.0,19.0,0.0,0.0
2010-01-06,66.0,12.0,26.0,18.0,0.0,0.0
2010-01-07,52.0,10.0,23.0,20.0,0.0,0.0
2010-01-08,53.0,7.0,27.0,30.0,0.0,0.0
2010-01-09,53.0,8.0,29.0,25.0,0.0,0.0
2010-01-10,59.0,17.0,27.0,19.0,0.0,0.0
2010-01-11,65.0,12.0,28.0,28.0,0.0,0.0
2010-01-12,75.0,17.0,36.0,25.0,0.0,0.0
2010-01-13,88.0,11.0,30.0,27.0,0.0,0.0
2010-01-14,76.0,11.0,32.0,30.0,0.0,0.0
2010-01-15,73.0,8.0,28.0,22.0,0.0,0.0
2010-01-16,52.0,14.0,34.0,18.0,0.0,0.0
2010-01-17,62.0,15.0,26.0,24.0,0.0,0.0
2010-01-18,63.0,12.0,27.0,21.0,0.0,0.0
2010-01-19,57.0,11.0,20.0,26.0,0.0,0.0
2010-01-20,56.0,15.0,28.0,22.0,0.0,0.0
2010-01-21,62.0,11.0,25.0,17.0,0.0,0.0
2010-01-22,44.0,10.0,15.0,19.0,0.0,0.0
2010-01-23,41.0,13.0,23.0,22.0,0.0,0.0
2010-01-24,49.0,11.0,26.0,16.0,0.0,0.0
2010-01-25,61.0,10.0,19.0,15.0,0.0,0.0
2010-01-26,48.0,14.0,21.0,20.0,0.0,0.0
2010-01-27,50.0,19.0,26.0,19.0,0.0,0.0
2010-01-28,57.0,13.0,12.0,18.0,0.0,0.0
2010-01-29,53.0,7.0,23.0,25.0,0.0,0.0
2010-01-30,56.0,18.0,23.0,10.0,0.0,0.0
2010-01-31,58.0,14.0,15.0,23.0,0.0,0.0
2010-02-01,49.0,14.0,13.0,17.0,0.0,0.0
2010-02-02,55.0,13.0,16.0,20.0,0.0,0.0
2010-02-03,68.0,16.0,18.0,23.0,0.0,0.0
2010-02-04,62.0,11.0,31.0,22.0,0.0,0.0
2010-02-05,68.0,17.0,32.0,27.0,0.0,0.0
2010-02-06,71.0,9.0,22.0,19.0,0.0,0.0
2010-02-07,70.0,11.0,35.0,16.0,0.0,0.0
2010-02-08,87.0,22.0,28.0,20.0,0.0,0.0
2010-02-09,97.0,17.0,37.0,36.0,0.0,0.0
2010-02-10,62.0,25.0,36.0,30.0,0.0,0.0
2010-02-11,54.0,10.0,24.0,19.0,0.0,0.0
2010-02-12,76.0,15.0,30.0,29.0,0.0,0.0
2010-02-13,57.0,18.0,24.0,23.0,0.0,0.0
2010-02-14,62.0,18.0,29.0,26.0,0.0,0.0
2010-02-15,72.0,20.0,22.0,29.0,0.0,0.0
2010-02-16,64.0,11.0,17.0,25.0,0.0,0.0
2010-02-17,71.0,8.0,40.0,16.0,0.0,0.0
2010-02-18,53.0,11.0,35.0,19.0,0.0,0.0
2010-02-19,50.0,6.0,29.0,23.0,0.0,0.0
2010-02-20,62.0,11.0,29.0,26.0,0.0,0.0
2010-02-21,48.0,14.0,18.0,21.0,0.0,0.0
2010-02-22,47.0,10.0,21.0,31.0,0.0,0.0
2010-02-23,55.0,15.0,25.0,17.0,0.0,0.0
2010-02-24,48.0,6.0,37.0,23.0,0.0,0.0
2010-02-25,55.0,10.0,27.0,22.0,0.0,0.0
2010-02-26,43.0,10.0,20.0,25.0,0.0,0.0
2010-02-27,54.0,11.0,20.0,17.0,0.0,0.0
2010-02-28,45.0,6.0,26.0,14.0,0.0,0.0
2010-03-01,37.0,10.0,15.0,27.0,0.0,0.0
2010-03-02,54.0,14.0,25.0,22.0,0.0,0.0
2010-03-03,63.0,11.0,25.0,19.0,0.0,0.0
2010-03-04,62.0,13.0,21.0,15.0,0.0,0.0
2010-03-05,56.0,6.0,23.0,26.0,0.0,0.0
2010-03-06,46.0,8.0,18.0,14.0,0.0,0.0
2010-03-07,52.0,14.0,27.0,16.0,0.0,0.0
2010-03-08,55.0,14.0,20.0,24.0,0.0,0.0
2010-03-09,64.0,13.0,20.0,21.0,0.0,0.0
2010-03-10,46.0,13.0,21.0,26.0,0.0,0.0
2010-03-11,66.0,10.0,21.0,15.0,0.0,0.0
2010-03-12,48.0,14.0,23.0,20.0,0.0,0.0
2010-03-13,60.0,11.0,24.0,20.0,0.0,0.0
2010-03-14,58.0,13.0,29.0,28.0,0.0,0.0
2010-03-15,51.0,12.0,32.0,16.0,0.0,0.0
