DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,76.0,5.0,40.0,16.0,0.0,0.0
2010-01-02,68.0,13.0,40.0,16.0,0.0,0.0
2010-01-03,52.0,12.0,36.0,24.0,0.0,0.0
2010-01-04,44.0,14.0,44.0,27.0,0.0,0.0
2010-01-05,60.0,11.0,46.0,15.0,0.0,0.0
2010-01-06,66.0,9.0,42.0,20.0,0.0,0.0
2010-01-07,59.0,12.0,36.0,21.0,0.0,0.0
2010-01-08,65.0,8.0,35.0,24.0,0.0,0.0
2010-01-09,78.0,10.0,42.0,24.0,0.0,0.0
2010-01-10,82.0,7.0,35.0,20.0,0.0,0.0
2010-01-11,69.0,11.0,53.0,25.0,0.0,0.0
2010-01-12,69.0,14.0,49.0,21.0,0.0,0.0
2010-01-13,73.0,19.0,34.0,18.0,0.0,0.0
2010-01-14,76.0,19.0,54.0,22.0,0.0,0.0
2010-01-15,59.0,14.0,40.0,29.0,0.0,0.0
2010-01-16,79.0,16.0,42.0,23.0,0.0,0.0
2010-01-17,68.0,11.0,35.0,15.0,0.0,0.0
2010-01-18,74.0,10.0,37.0,20.0,0.0,0.0
2010-01-19,71.0,9.0,31.0,18.0,0.0,0.0
2010-01-20,69.0,15.0,44.0,26.0,0.0,0.0
2010-01-21,79.0,10.0,36.0,21.0,0.0,0.0
2010-01-22,74.0,10.0,46.0,23.0,0.0,0.0
2010-01-23,76.0,11.0,27.0,19.0,0.0,0.0
2010-01-24,67.0,13.0,44.0,24.0,0.0,0.0
2010-01-25,61.0,13.0,27.0,14.0,0.0,0.0
2010-01-26,70.0,10.0,46.0,24.0,0.0,0.0
2010-01-27,60.0,15.0,37.0,30.0,0.0,0.0
2010-01-28,45.0,8.0,42.0,23.0,0.0,0.0
2010-01-29,76.0,23.0,31.0,22.0,0.0,0.0
2010-01-30,51.0,17.0,43.0,20.0,0.0,0.0
2010-01-31,62.0,24.0,36.0,32.0,0.0,0.0
2010-02-01,60.0,13.0,48.0,24.0,0.0,0.0
2010-02-02,73.0,24.0,48.0,28.0,0.0,0.0
2010-02-03,65.0,17.0,30.0,10.0,0.0,0.0
2010-02-04,79.0,11.0,45.0,23.0,0.0,0.0
2010-02-05,76.0,18.0,37.0,19.0,0.0,0.0
2010-02-06,85.0,9.0,37.0,28.0,0.0,0.0
2010-02-07,68.0,19.0,39.0,24.0,0.0,0.0
2010-02-08,83.0,18.0,51.0,26.0,0.0,0.0
2010-02-09,67.0,17.0,44.0,26.0,0.0,0.0
2010-02-10,56.0,13.0,34.0,25.0,0.0,0.0
2010-02-11,78.0,13.0,44.0,28.0,0.0,0.0
2010-02-12,77.0,13.0,44.0,36.0,0.0,0.0
2010-02-13,56.0,12.0,31.0,18.0,0.0,0.0
2010-02-14,58.0,13.0,35.0,23.0,0.0,0.0
2010-02-15,77.0,8.0,45.0,30.0,0.0,0.0
2010-02-16,67.0,15.0,59.0,27.0,0.0,0.0
2010-02-17,66.0,14.0,63.0,31.0,0.0,0.0
2010-02-18,47.0,12.0,44.0,23.0,0.0,0.0
2010-02-19,62.0,11.0,44.0,39.0,0.0,0.0
2010-02-20,74.0,13.0,42.0,31.0,0.0,0.0
2010-02-21,54.0,11.0,37.0,21.0,0.0,0.0
2010-02-22,68.0,13.0,38.0,36.0,0.0,0.0
2010-02-23,70.0,12.0,46.0,33.0,0.0,0.0
2010-02-24,70.0,20.0,46.0,28.0,0.0,0.0
2010-02-25,57.0,13.0,34.0,18.0,0.0,0.0
