DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,DEMAIS OBITOS,COVID19
2010-01-01,0.0,66.0,12.0,46.0,150.0,0.0
2010-01-02,0.0,75.0,23.0,41.0,136.0,0.0
2010-01-03,0.0,64.0,29.0,55.0,136.0,0.0
2010-01-04,0.0,68.0,29.0,48.0,133.0,0.0
2010-01-05,0.0,68.0,22.0,41.0,134.0,0.0
2010-01-06,0.0,76.0,23.0,48.0,162.0,0.0
2010-01-07,0.0,62.0,25.0,51.0,139.0,0.0
2010-01-08,0.0,66.0,17.0,65.0,137.0,0.0
2010-01-09,0.0,73.0,21.0,58.0,148.0,0.0
2010-01-10,0.0,70.0,29.0,45.0,167.0,0.0
2010-01-11,0.0,87.0,27.0,62.0,156.0,0.0
2010-01-12,0.0,95.0,34.0,52.0,171.0,0.0
2010-01-13,0.0,72.0,35.0,58.0,193.0,0.0
2010-01-14,0.0,98.0,34.0,68.0,180.0,0.0
2010-01-15,0.0,80.0,24.0,63.0,157.0,0.0
2010-01-16,0.0,82.0,33.0,48.0,146.0,0.0
2010-01-17,0.0,73.0,28.0,44.0,157.0,0.0
2010-01-18,0.0,71.0,24.0,49.0,159.0,0.0
2010-01-19,0.0,60.0,23.0,52.0,156.0,0.0
2010-01-20,0.0,83.0,34.0,53.0,147.0,0.0
2010-01-21,0.0,69.0,23.0,53.0,165.0,0.0
2010-01-22,0.0,67.0,24.0,50.0,150.0,0.0
2010-01-23,0.0,51.0,26.0,53.0,143.0,0.0
2010-01-24,0.0,73.0,26.0,48.0,144.0,0.0
2010-01-25,0.0,58.0,29.0,37.0,144.0,0.0
2010-01-26,0.0,73.0,27.0,53.0,135.0,0.0
2010-01-27,0.0,72.0,37.0,66.0,136.0,0.0
2010-01-28,0.0,58.0,25.0,51.0,123.0,0.0
2010-01-29,0.0,61.0,34.0,56.0,145.0,0.0
2010-01-30,0.0,75.0,43.0,37.0,130.0,0.0
2010-01-31,0.0,59.0,38.0,60.0,145.0,0.0
2010-02-01,0.0,72.0,28.0,45.0,135.0,0.0
2010-02-02,0.0,74.0,43.0,59.0,150.0,0.0
2010-02-03,0.0,53.0,33.0,46.0,153.0,0.0
2010-02-04,0.0,80.0,22.0,56.0,158.0,0.0
