DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,55.0,10.0,5.0,11.0,0.0,0.0
2010-01-02,73.0,16.0,13.0,13.0,0.0,0.0
2010-01-03,64.0,12.0,10.0,26.0,0.0,0.0
2010-01-04,72.0,12.0,6.0,17.0,0.0,0.0
2010-01-05,44.0,11.0,13.0,16.0,0.0,0.0
2010-01-06,69.0,15.0,8.0,19.0,0.0,0.0
2010-01-07,67.0,16.0,10.0,12.0,0.0,0.0
2010-01-08,64.0,12.0,12.0,18.0,0.0,0.0
2010-01-09,71.0,22.0,6.0,11.0,0.0,0.0
2010-01-10,63.0,11.0,6.0,20.0,0.0,0.0
2010-01-11,73.0,13.0,14.0,20.0,0.0,0.0
2010-01-12,71.0,19.0,14.0,19.0,0.0,0.0
2010-01-13,73.0,13.0,9.0,17.0,0.0,0.0
2010-01-14,83.0,16.0,9.0,9.0,0.0,0.0
2010-01-15,84.0,14.0,6.0,14.0,0.0,0.0
2010-01-16,63.0,13.0,14.0,21.0,0.0,0.0
2010-01-17,74.0,7.0,11.0,16.0,0.0,0.0
2010-01-18,66.0,17.0,12.0,10.0,0.0,0.0
2010-01-19,71.0,10.0,11.0,10.0,0.0,0.0
2010-01-20,69.0,11.0,13.0,7.0,0.0,0.0
2010-01-21,64.0,13.0,7.0,20.0,0.0,0.0
2010-01-22,60.0,12.0,12.0,14.0,0.0,0.0
2010-01-23,60.0,13.0,12.0,14.0,0.0,0.0
2010-01-24,77.0,12.0,9.0,17.0,0.0,0.0
2010-01-25,70.0,13.0,13.0,20.0,0.0,0.0
2010-01-26,71.0,19.0,10.0,20.0,0.0,0.0
2010-01-27,74.0,6.0,11.0,15.0,0.0,0.0
2010-01-28,57.0,15.0,8.0,16.0,0.0,0.0
2010-01-29,75.0,13.0,14.0,14.0,0.0,0.0
2010-01-30,72.0,20.0,10.0,23.0,0.0,0.0
2010-01-31,53.0,18.0,15.0,17.0,0.0,0.0
2010-02-01,73.0,13.0,13.0,21.0,0.0,0.0
2010-02-02,76.0,16.0,11.0,22.0,0.0,0.0
2010-02-03,63.0,17.0,7.0,19.0,0.0,0.0
2010-02-04,65.0,12.0,15.0,25.0,0.0,0.0
2010-02-05,68.0,12.0,7.0,25.0,0.0,0.0
2010-02-06,71.0,19.0,10.0,15.0,0.0,0.0
2010-02-07,81.0,18.0,14.0,22.0,0.0,0.0
2010-02-08,74.0,18.0,8.0,19.0,0.0,0.0
2010-02-09,58.0,15.0,9.0,18.0,0.0,0.0
2010-02-10,70.0,8.0,8.0,12.0,0.0,0.0
2010-02-11,61.0,15.0,8.0,14.0,0.0,0.0
2010-02-12,70.0,12.0,10.0,14.0,0.0,0.0
2010-02-13,80.0,8.0,13.0,18.0,0.0,0.0
2010-02-14,72.0,8.0,12.0,11.0,0.0,0.0
2010-02-15,81.0,16.0,12.0,14.0,0.0,0.0
2010-02-16,73.0,12.0,8.0,15.0,0.0,0.0
2010-02-17,66.0,21.0,12.0,23.0,0.0,0.0
2010-02-18,79.0,19.0,11.0,16.0,0.0,0.0
2010-02-19,74.0,9.0,13.0,13.0,0.0,0.0
2010-02-20,63.0,13.0,6.0,12.0,0.0,0.0
2010-02-21,72.0,14.0,14.0,11.0,0.0,0.0
2010-02-22,58.0,20.0,11.0,11.0,0.0,0.0
2010-02-23,65.0,12.0,10.0,14.0,0.0,0.0
2010-02-24,53.0,8.0,5.0,13.0,0.0,0.0
2010-02-25,69.0,12.0,8.0,20.0,0.0,0.0
2010-02-26,77.0,11.0,12.0,10.0,0.0,0.0
2010-02-27,79.0,7.0,12.0,19.0,0.0,0.0
2010-02-28,58.0,13.0,14.0,20.0,0.0,0.0
2010-03-01,52.0,18.0,5.0,19.0,0.0,0.0
2010-03-02,87.0,18.0,10.0,22.0,0.0,0.0
2010-03-03,70.0,24.0,9.0,17.0,0.0,0.0
2010-03-04,74.0,12.0,12.0,15.0,0.0,0.0
2010-03-05,73.0,13.0,11.0,15.0,0.0,0.0
2010-03-06,57.0,16.0,7.0,25.0,0.0,0.0
2010-03-07,66.0,10.0,13.0,10.0,0.0,0.0
2010-03-08,62.0,13.0,16.0,19.0,1.0,0.0
2010-03-09,67.0,17.0,7.0,22.0,0.0,0.0
2010-03-10,70.0,27.0,6.0,22.0,0.0,0.0
2010-03-11,67.0,20.0,10.0,18.0,0.0,0.0
2010-03-12,73.0,12.0,18.0,21.0,0.0,0.0
2010-03-13,70.0,15.0,9.0,18.0,0.0,0.0
2010-03-14,67.0,4.0,14.0,13.0,0.0,0.0
2010-03-15,73.0,10.0,13.0,16.0,0.0,0.0
2010-03-16,68.0,12.0,9.0,9.0,0.0,0.0
2010-03-17,61.0,9.0,10.0,15.0,0.0,0.0
2010-03-18,59.0,15.0,9.0,16.0,0.0,0.0
2010-03-19,50.0,9.0,12.0,7.0,0.0,0.0
2010-03-20,73.0,17.0,16.0,20.0,0.0,0.0
2010-03-21,53.0,17.0,5.0,25.0,0.0,0.0
2010-03-22,66.0,17.0,9.0,14.0,0.0,0.0
2010-03-23,62.0,17.0,10.0,16.0,0.0,0.0
2010-03-24,63.0,13.0,6.0,15.0,0.0,0.0
2010-03-25,67.0,6.0,16.0,18.0,0.0,0.0
2010-03-26,63.0,10.0,8.0,16.0,0.0,0.0
2010-03-27,81.0,9.0,14.0,16.0,0.0,0.0
2010-03-28,62.0,22.0,11.0,9.0,0.0,0.0
2010-03-29,52.0,8.0,8.0,17.0,0.0,0.0
2010-03-30,61.0,8.0,10.0,12.0,0.0,0.0
2010-03-31,63.0,16.0,10.0,14.0,0.0,0.0
2010-04-01,66.0,15.0,9.0,14.0,0.0,0.0
2010-04-02,66.0,17.0,8.0,19.0,0.0,0.0
2010-04-03,63.0,12.0,11.0,20.0,0.0,0.0
2010-04-04,71.0,9.0,6.0,17.0,0.0,0.0
2010-04-05,67.0,13.0,8.0,18.0,0.0,0.0
2010-04-06,86.0,19.0,9.0,20.0,0.0,0.0
2010-04-07,72.0,19.0,12.0,17.0,0.0,0.0
2010-04-08,82.0,14.0,16.0,21.0,0.0,0.0
2010-04-09,63.0,14.0,16.0,18.0,0.0,0.0
2010-04-10,71.0,12.0,11.0,19.0,0.0,0.0
2010-04-11,58.0,15.0,12.0,22.0,0.0,0.0
2010-04-12,71.0,15.0,13.0,19.0,0.0,0.0
2010-04-13,66.0,12.0,10.0,14.0,0.0,0.0
2010-04-14,73.0,13.0,5.0,21.0,0.0,0.0
2010-04-15,62.0,15.0,15.0,23.0,0.0,0.0
2010-04-16,75.0,13.0,5.0,14.0,0.0,0.0
2010-04-17,54.0,7.0,13.0,23.0,0.0,0.0
2010-04-18,65.0,12.0,17.0,20.0,0.0,0.0
2010-04-19,69.0,16.0,9.0,24.0,0.0,0.0
2010-04-20,83.0,15.0,17.0,14.0,0.0,0.0
2010-04-21,79.0,9.0,16.0,17.0,0.0,0.0
2010-04-22,71.0,16.0,14.0,21.0,0.0,0.0
2010-04-23,73.0,11.0,10.0,14.0,0.0,0.0
2010-04-24,71.0,17.0,12.0,17.0,0.0,0.0
2010-04-25,78.0,15.0,8.0,21.0,0.0,0.0
2010-04-26,75.0,16.0,13.0,17.0,0.0,0.0
2010-04-27,71.0,11.0,17.0,20.0,0.0,0.0
2010-04-28,76.0,15.0,7.0,20.0,0.0,0.0
2010-04-29,79.0,20.0,19.0,19.0,0.0,0.0
2010-04-30,70.0,11.0,12.0,18.0,0.0,0.0
2010-05-01,66.0,11.0,12.0,17.0,0.0,0.0
2010-05-02,61.0,20.0,17.0,16.0,0.0,0.0
2010-05-03,77.0,11.0,14.0,20.0,0.0,0.0
2010-05-04,60.0,22.0,9.0,16.0,0.0,0.0
2010-05-05,53.0,11.0,16.0,15.0,0.0,0.0
2010-05-06,88.0,13.0,13.0,21.0,0.0,0.0
2010-05-07,60.0,10.0,7.0,15.0,0.0,0.0
2010-05-08,80.0,12.0,12.0,14.0,0.0,0.0
2010-05-09,60.0,14.0,14.0,16.0,0.0,0.0
2010-05-10,72.0,11.0,12.0,17.0,0.0,0.0
2010-05-11,77.0,13.0,20.0,22.0,0.0,0.0
2010-05-12,83.0,15.0,10.0,12.0,0.0,0.0
2010-05-13,75.0,13.0,9.0,17.0,0.0,0.0
2010-05-14,69.0,14.0,10.0,20.0,0.0,0.0
2010-05-15,78.0,17.0,15.0,16.0,0.0,0.0
2010-05-16,70.0,19.0,10.0,12.0,0.0,0.0
2010-05-17,68.0,14.0,17.0,14.0,0.0,0.0
2010-05-18,73.0,19.0,5.0,20.0,0.0,0.0
2010-05-19,53.0,19.0,10.0,23.0,0.0,0.0
2010-05-20,67.0,12.0,9.0,22.0,0.0,0.0
2010-05-21,66.0,11.0,20.0,16.0,0.0,0.0
2010-05-22,65.0,17.0,12.0,18.0,0.0,0.0
2010-05-23,57.0,14.0,10.0,20.0,0.0,0.0
2010-05-24,68.0,4.0,13.0,17.0,0.0,0.0
2010-05-25,70.0,15.0,12.0,17.0,0.0,0.0
2010-05-26,69.0,14.0,16.0,18.0,0.0,0.0
2010-05-27,75.0,19.0,14.0,17.0,0.0,0.0
2010-05-28,70.0,16.0,11.0,20.0,0.0,0.0
2010-05-29,80.0,14.0,11.0,11.0,0.0,0.0
2010-05-30,70.0,12.0,15.0,23.0,0.0,0.0
2010-05-31,54.0,14.0,11.0,22.0,0.0,0.0
2010-06-01,72.0,12.0,13.0,11.0,1.0,0.0
2010-06-02,66.0,15.0,3.0,16.0,0.0,0.0
2010-06-03,56.0,14.0,5.0,10.0,0.0,0.0
2010-06-04,75.0,11.0,14.0,23.0,0.0,0.0
2010-06-05,73.0,6.0,15.0,13.0,1.0,0.0
2010-06-06,66.0,10.0,8.0,19.0,0.0,0.0
2010-06-07,57.0,13.0,20.0,19.0,0.0,0.0
2010-06-08,65.0,17.0,16.0,18.0,0.0,0.0
2010-06-09,60.0,17.0,14.0,17.0,0.0,0.0
2010-06-10,68.0,10.0,13.0,15.0,0.0,0.0
2010-06-11,57.0,12.0,11.0,11.0,0.0,0.0
2010-06-12,66.0,15.0,14.0,19.0,0.0,0.0
2010-06-13,72.0,12.0,10.0,14.0,0.0,0.0
2010-06-14,75.0,9.0,7.0,16.0,0.0,0.0
2010-06-15,80.0,12.0,13.0,17.0,0.0,0.0
2010-06-16,73.0,9.0,9.0,16.0,0.0,0.0
2010-06-17,54.0,12.0,13.0,23.0,0.0,0.0
2010-06-18,81.0,15.0,16.0,18.0,0.0,0.0
2010-06-19,84.0,12.0,10.0,11.0,0.0,0.0
2010-06-20,79.0,17.0,15.0,13.0,0.0,0.0
2010-06-21,57.0,12.0,10.0,15.0,0.0,0.0
2010-06-22,70.0,12.0,15.0,13.0,0.0,0.0
2010-06-23,69.0,16.0,18.0,16.0,0.0,0.0
2010-06-24,69.0,9.0,13.0,11.0,0.0,0.0
2010-06-25,64.0,10.0,8.0,12.0,0.0,0.0
2010-06-26,77.0,12.0,7.0,20.0,0.0,0.0
2010-06-27,73.0,15.0,7.0,19.0,0.0,0.0
2010-06-28,74.0,18.0,6.0,17.0,0.0,0.0
2010-06-29,74.0,16.0,10.0,12.0,0.0,0.0
2010-06-30,67.0,16.0,8.0,13.0,0.0,0.0
2010-07-01,73.0,9.0,13.0,13.0,0.0,0.0
2010-07-02,65.0,13.0,17.0,14.0,0.0,0.0
2010-07-03,85.0,19.0,13.0,13.0,0.0,0.0
2010-07-04,68.0,16.0,9.0,20.0,0.0,0.0
2010-07-05,74.0,9.0,7.0,17.0,0.0,0.0
2010-07-06,74.0,14.0,14.0,19.0,0.0,0.0
2010-07-07,66.0,14.0,7.0,12.0,0.0,0.0
2010-07-08,80.0,14.0,21.0,23.0,0.0,0.0
2010-07-09,87.0,14.0,10.0,21.0,0.0,0.0
2010-07-10,72.0,12.0,13.0,11.0,0.0,0.0
2010-07-11,78.0,9.0,15.0,24.0,0.0,0.0
2010-07-12,71.0,16.0,12.0,25.0,0.0,0.0
2010-07-13,66.0,8.0,12.0,14.0,0.0,0.0
2010-07-14,69.0,14.0,10.0,19.0,0.0,0.0
2010-07-15,77.0,11.0,11.0,14.0,0.0,0.0
2010-07-16,74.0,13.0,15.0,18.0,0.0,0.0
2010-07-17,85.0,21.0,7.0,18.0,0.0,0.0
2010-07-18,66.0,13.0,10.0,14.0,0.0,0.0
2010-07-19,66.0,18.0,11.0,17.0,0.0,0.0
2010-07-20,75.0,21.0,12.0,14.0,0.0,0.0
2010-07-21,70.0,13.0,10.0,16.0,0.0,0.0
2010-07-22,73.0,11.0,12.0,21.0,0.0,0.0
2010-07-23,73.0,7.0,15.0,13.0,0.0,0.0
2010-07-24,71.0,19.0,10.0,14.0,0.0,0.0
2010-07-25,66.0,15.0,19.0,11.0,0.0,0.0
2010-07-26,74.0,10.0,5.0,9.0,0.0,0.0
2010-07-27,79.0,11.0,5.0,19.0,0.0,0.0
2010-07-28,74.0,13.0,15.0,19.0,0.0,0.0
2010-07-29,67.0,7.0,10.0,18.0,0.0,0.0
2010-07-30,67.0,17.0,10.0,15.0,0.0,0.0
2010-07-31,69.0,14.0,8.0,17.0,0.0,0.0
2010-08-01,64.0,15.0,5.0,11.0,0.0,0.0
2010-08-02,99.0,12.0,12.0,17.0,0.0,0.0
2010-08-03,93.0,18.0,10.0,20.0,0.0,0.0
2010-08-04,73.0,14.0,9.0,15.0,0.0,0.0
2010-08-05,71.0,16.0,12.0,26.0,0.0,0.0
2010-08-06,73.0,13.0,12.0,17.0,0.0,0.0
2010-08-07,64.0,12.0,9.0,21.0,0.0,0.0
2010-08-08,54.0,11.0,13.0,17.0,0.0,0.0
2010-08-09,65.0,14.0,9.0,10.0,0.0,0.0
2010-08-10,92.0,15.0,19.0,15.0,0.0,0.0
2010-08-11,59.0,19.0,12.0,27.0,0.0,0.0
2010-08-12,66.0,14.0,13.0,10.0,0.0,0.0
2010-08-13,77.0,20.0,12.0,12.0,1.0,0.0
2010-08-14,72.0,17.0,12.0,14.0,0.0,0.0
