DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,DEMAIS OBITOS,COVID19
2010-01-01,0.0,346.0,161.0,231.0,1099.0,0.0
2010-01-02,0.0,361.0,187.0,241.0,1091.0,0.0
2010-01-03,0.0,344.0,191.0,275.0,1047.0,0.0
2010-01-04,1.0,363.0,195.0,244.0,1023.0,0.0
2010-01-05,2.0,317.0,172.0,232.0,1072.0,0.0
2010-01-06,0.0,379.0,176.0,254.0,1115.0,0.0
2010-01-07,0.0,371.0,204.0,254.0,1071.0,0.0
2010-01-08,2.0,351.0,196.0,281.0,1034.0,0.0
2010-01-09,0.0,354.0,190.0,246.0,1012.0,0.0
2010-01-10,0.0,330.0,182.0,261.0,1059.0,0.0
2010-01-11,1.0,381.0,200.0,284.0,1122.0,0.0
2010-01-12,1.0,391.0,205.0,267.0,1129.0,0.0
2010-01-13,1.0,356.0,210.0,274.0,1150.0,0.0
2010-01-14,0.0,370.0,201.0,260.0,1121.0,0.0
2010-01-15,1.0,370.0,174.0,252.0,1063.0,0.0
2010-01-16,0.0,353.0,207.0,256.0,1050.0,0.0
2010-01-17,0.0,362.0,178.0,264.0,1097.0,0.0
2010-01-18,0.0,361.0,214.0,241.0,1116.0,0.0
2010-01-19,0.0,353.0,213.0,230.0,1075.0,0.0
2010-01-20,0.0,391.0,192.0,286.0,1075.0,0.0
2010-01-21,1.0,355.0,174.0,261.0,1049.0,0.0
2010-01-22,0.0,332.0,199.0,241.0,1039.0,0.0
2010-01-23,1.0,349.0,189.0,265.0,1022.0,0.0
2010-01-24,0.0,390.0,169.0,251.0,1042.0,0.0
2010-01-25,0.0,340.0,204.0,256.0,1075.0,0.0
2010-01-26,0.0,351.0,206.0,294.0,1081.0,0.0
2010-01-27,0.0,311.0,201.0,274.0,1017.0,0.0
2010-01-28,1.0,315.0,214.0,268.0,1060.0,0.0
2010-01-29,1.0,328.0,218.0,258.0,1117.0,0.0
2010-01-30,0.0,358.0,208.0,230.0,1044.0,0.0
2010-01-31,0.0,332.0,210.0,264.0,1033.0,0.0
2010-02-01,1.0,353.0,189.0,262.0,1089.0,0.0
2010-02-02,1.0,377.0,231.0,286.0,1156.0,0.0
2010-02-03,0.0,368.0,216.0,297.0,1138.0,0.0
2010-02-04,0.0,411.0,212.0,323.0,1141.0,0.0
2010-02-05,0.0,428.0,237.0,322.0,1206.0,0.0
2010-02-06,0.0,404.0,214.0,304.0,1170.0,0.0
2010-02-07,1.0,430.0,239.0,300.0,1165.0,0.0
2010-02-08,0.0,416.0,232.0,280.0,1275.0,0.0
2010-02-09,0.0,399.0,241.0,334.0,1128.0,0.0
2010-02-10,0.0,368.0,210.0,312.0,1114.0,0.0
2010-02-11,1.0,406.0,218.0,293.0,1058.0,0.0
2010-02-12,1.0,397.0,185.0,315.0,1075.0,0.0
2010-02-13,2.0,390.0,202.0,267.0,1100.0,0.0
2010-02-14,0.0,385.0,196.0,265.0,1075.0,0.0
2010-02-15,0.0,392.0,201.0,291.0,1173.0,0.0
2010-02-16,0.0,386.0,182.0,281.0,1075.0,0.0
2010-02-17,1.0,417.0,194.0,271.0,1079.0,0.0
2010-02-18,1.0,367.0,200.0,240.0,1017.0,0.0
2010-02-19,1.0,344.0,172.0,283.0,996.0,0.0
2010-02-20,0.0,390.0,208.0,275.0,1044.0,0.0
2010-02-21,1.0,402.0,210.0,250.0,1025.0,0.0
2010-02-22,0.0,355.0,195.0,329.0,1056.0,0.0
2010-02-23,0.0,377.0,179.0,291.0,1038.0,0.0
2010-02-24,2.0,368.0,209.0,271.0,1073.0,0.0
2010-02-25,1.0,357.0,184.0,275.0,996.0,0.0
2010-02-26,0.0,328.0,189.0,222.0,1066.0,0.0
2010-02-27,0.0,338.0,195.0,258.0,1027.0,0.0
2010-02-28,0.0,379.0,196.0,254.0,1026.0,0.0
2010-03-01,0.0,342.0,193.0,273.0,1027.0,0.0
2010-03-02,0.0,337.0,211.0,252.0,1081.0,0.0
2010-03-03,0.0,325.0,197.0,282.0,1055.0,0.0
2010-03-04,1.0,361.0,191.0,238.0,1064.0,0.0
2010-03-05,0.0,337.0,194.0,268.0,1146.0,0.0
2010-03-06,0.0,360.0,211.0,260.0,1098.0,0.0
2010-03-07,0.0,350.0,211.0,228.0,1045.0,0.0
2010-03-08,3.0,361.0,200.0,271.0,1101.0,0.0
2010-03-09,1.0,367.0,208.0,260.0,1083.0,0.0
2010-03-10,0.0,339.0,254.0,295.0,1107.0,0.0
2010-03-11,1.0,377.0,250.0,244.0,1093.0,0.0
2010-03-12,0.0,362.0,194.0,273.0,1122.0,0.0
2010-03-13,0.0,354.0,196.0,268.0,1122.0,0.0
2010-03-14,0.0,382.0,175.0,323.0,1111.0,0.0
2010-03-15,0.0,404.0,201.0,257.0,1124.0,0.0
2010-03-16,0.0,330.0,209.0,244.0,1004.0,0.0
2010-03-17,0.0,354.0,179.0,264.0,1058.0,0.0
2010-03-18,1.0,360.0,189.0,285.0,1021.0,0.0
2010-03-19,0.0,360.0,224.0,244.0,1033.0,0.0
2010-03-20,1.0,355.0,210.0,259.0,1129.0,0.0
2010-03-21,0.0,318.0,183.0,279.0,978.0,0.0
2010-03-22,0.0,316.0,168.0,252.0,1011.0,0.0
2010-03-23,0.0,364.0,220.0,272.0,1013.0,0.0
2010-03-24,0.0,325.0,210.0,245.0,1039.0,0.0
2010-03-25,0.0,361.0,189.0,265.0,1079.0,0.0
2010-03-26,0.0,331.0,197.0,232.0,1029.0,0.0
2010-03-27,1.0,353.0,203.0,253.0,1027.0,0.0
2010-03-28,0.0,375.0,186.0,278.0,1028.0,0.0
2010-03-29,0.0,378.0,188.0,234.0,995.0,0.0
2010-03-30,0.0,360.0,178.0,273.0,1013.0,0.0
2010-03-31,0.0,319.0,190.0,258.0,1025.0,0.0
2010-04-01,1.0,335.0,190.0,239.0,1011.0,0.0
2010-04-02,0.0,338.0,182.0,226.0,971.0,0.0
2010-04-03,1.0,336.0,205.0,264.0,1035.0,0.0
2010-04-04,0.0,328.0,158.0,269.0,1057.0,0.0
2010-04-05,0.0,339.0,179.0,251.0,1108.0,0.0
2010-04-06,0.0,336.0,193.0,267.0,1088.0,0.0
2010-04-07,0.0,338.0,190.0,254.0,1081.0,0.0
