DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,59.0,4.0,7.0,11.0,0.0,0.0
2010-01-02,51.0,7.0,12.0,6.0,0.0,0.0
2010-01-03,44.0,5.0,16.0,6.0,0.0,0.0
2010-01-04,46.0,6.0,14.0,8.0,0.0,0.0
2010-01-05,44.0,5.0,14.0,7.0,0.0,0.0
2010-01-06,53.0,7.0,8.0,9.0,0.0,0.0
2010-01-07,49.0,9.0,5.0,11.0,0.0,0.0
2010-01-08,47.0,10.0,12.0,11.0,1.0,0.0
2010-01-09,39.0,6.0,15.0,4.0,0.0,0.0
2010-01-10,50.0,6.0,8.0,11.0,0.0,0.0
2010-01-11,53.0,4.0,8.0,9.0,0.0,0.0
2010-01-12,47.0,12.0,11.0,6.0,0.0,0.0
2010-01-13,63.0,4.0,10.0,10.0,0.0,0.0
2010-01-14,51.0,11.0,10.0,5.0,0.0,0.0
2010-01-15,53.0,7.0,10.0,6.0,0.0,0.0
2010-01-16,50.0,11.0,7.0,4.0,0.0,0.0
2010-01-17,42.0,10.0,10.0,7.0,0.0,0.0
2010-01-18,45.0,9.0,9.0,8.0,0.0,0.0
2010-01-19,30.0,15.0,10.0,7.0,0.0,0.0
2010-01-20,49.0,3.0,16.0,10.0,0.0,0.0
2010-01-21,47.0,10.0,22.0,14.0,0.0,0.0
2010-01-22,39.0,5.0,8.0,12.0,0.0,0.0
2010-01-23,41.0,7.0,11.0,11.0,0.0,0.0
2010-01-24,58.0,11.0,11.0,7.0,0.0,0.0
2010-01-25,46.0,12.0,12.0,8.0,0.0,0.0
2010-01-26,56.0,9.0,9.0,12.0,0.0,0.0
2010-01-27,31.0,8.0,5.0,8.0,0.0,0.0
2010-01-28,53.0,8.0,6.0,9.0,1.0,0.0
2010-01-29,46.0,12.0,10.0,11.0,0.0,0.0
2010-01-30,45.0,6.0,11.0,7.0,0.0,0.0
2010-01-31,45.0,10.0,11.0,5.0,0.0,0.0
2010-02-01,46.0,7.0,10.0,5.0,0.0,0.0
2010-02-02,42.0,13.0,13.0,6.0,0.0,0.0
2010-02-03,46.0,12.0,9.0,9.0,0.0,0.0
2010-02-04,36.0,8.0,13.0,5.0,0.0,0.0
2010-02-05,45.0,9.0,13.0,9.0,0.0,0.0
2010-02-06,46.0,6.0,9.0,10.0,0.0,0.0
2010-02-07,39.0,4.0,11.0,8.0,0.0,0.0
2010-02-08,52.0,4.0,10.0,12.0,0.0,0.0
2010-02-09,38.0,16.0,7.0,9.0,0.0,0.0
2010-02-10,64.0,7.0,8.0,13.0,0.0,0.0
2010-02-11,36.0,8.0,16.0,6.0,0.0,0.0
2010-02-12,52.0,9.0,10.0,9.0,0.0,0.0
2010-02-13,55.0,8.0,13.0,14.0,0.0,0.0
2010-02-14,46.0,4.0,11.0,5.0,0.0,0.0
