DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,30.0,6.0,2.0,3.0,0.0,0.0
2010-01-02,33.0,2.0,7.0,3.0,0.0,0.0
2010-01-03,30.0,4.0,1.0,6.0,0.0,0.0
2010-01-04,23.0,1.0,5.0,7.0,1.0,0.0
2010-01-05,25.0,3.0,2.0,6.0,0.0,0.0
2010-01-06,21.0,2.0,4.0,2.0,0.0,0.0
2010-01-07,34.0,4.0,7.0,2.0,0.0,0.0
2010-01-08,31.0,8.0,4.0,5.0,0.0,0.0
2010-01-09,26.0,4.0,5.0,6.0,0.0,0.0
2010-01-10,17.0,3.0,5.0,3.0,0.0,0.0
2010-01-11,40.0,6.0,4.0,6.0,0.0,0.0
2010-01-12,16.0,6.0,6.0,3.0,0.0,0.0
2010-01-13,19.0,7.0,4.0,2.0,0.0,0.0
2010-01-14,20.0,6.0,10.0,4.0,0.0,0.0
2010-01-15,21.0,7.0,4.0,6.0,0.0,0.0
2010-01-16,30.0,4.0,1.0,9.0,0.0,0.0
2010-01-17,22.0,4.0,1.0,3.0,0.0,0.0
2010-01-18,37.0,10.0,4.0,5.0,0.0,0.0
2010-01-19,30.0,5.0,1.0,4.0,0.0,0.0
2010-01-20,25.0,4.0,1.0,5.0,0.0,0.0
2010-01-21,29.0,2.0,2.0,5.0,0.0,0.0
2010-01-22,26.0,3.0,4.0,6.0,0.0,0.0
2010-01-23,22.0,5.0,3.0,3.0,0.0,0.0
2010-01-24,24.0,3.0,3.0,2.0,0.0,0.0
2010-01-25,18.0,3.0,0.0,2.0,0.0,0.0
2010-01-26,26.0,4.0,3.0,7.0,0.0,0.0
2010-01-27,23.0,4.0,2.0,3.0,0.0,0.0
2010-01-28,25.0,3.0,0.0,8.0,0.0,0.0
2010-01-29,27.0,2.0,4.0,3.0,0.0,0.0
2010-01-30,26.0,5.0,3.0,5.0,0.0,0.0
2010-01-31,24.0,4.0,0.0,4.0,0.0,0.0
2010-02-01,20.0,5.0,5.0,7.0,0.0,0.0
2010-02-02,25.0,5.0,7.0,7.0,0.0,0.0
2010-02-03,42.0,9.0,4.0,9.0,0.0,0.0
2010-02-04,14.0,2.0,2.0,6.0,0.0,0.0
2010-02-05,29.0,2.0,5.0,2.0,0.0,0.0
2010-02-06,25.0,5.0,2.0,7.0,0.0,0.0
2010-02-07,23.0,5.0,4.0,2.0,0.0,0.0
2010-02-08,14.0,3.0,3.0,8.0,0.0,0.0
2010-02-09,30.0,9.0,0.0,5.0,0.0,0.0
2010-02-10,24.0,7.0,4.0,4.0,0.0,0.0
2010-02-11,25.0,1.0,5.0,2.0,0.0,0.0
2010-02-12,25.0,1.0,4.0,4.0,0.0,0.0
2010-02-13,29.0,3.0,3.0,4.0,0.0,0.0
2010-02-14,27.0,9.0,1.0,2.0,0.0,0.0
2010-02-15,42.0,2.0,3.0,2.0,0.0,0.0
2010-02-16,32.0,4.0,3.0,4.0,0.0,0.0
2010-02-17,35.0,6.0,5.0,5.0,0.0,0.0
2010-02-18,24.0,7.0,3.0,4.0,0.0,0.0
2010-02-19,29.0,5.0,3.0,2.0,0.0,0.0
2010-02-20,35.0,4.0,5.0,3.0,0.0,0.0
2010-02-21,21.0,1.0,5.0,3.0,0.0,0.0
2010-02-22,21.0,3.0,3.0,1.0,0.0,0.0
2010-02-23,25.0,6.0,5.0,4.0,0.0,0.0
2010-02-24,33.0,5.0,3.0,6.0,0.0,0.0
2010-02-25,28.0,8.0,8.0,5.0,0.0,0.0
2010-02-26,27.0,8.0,5.0,2.0,0.0,0.0
2010-02-27,27.0,9.0,2.0,5.0,0.0,0.0
2010-02-28,17.0,7.0,6.0,5.0,0.0,0.0
2010-03-01,22.0,4.0,4.0,5.0,0.0,0.0
2010-03-02,21.0,7.0,5.0,5.0,0.0,0.0
2010-03-03,29.0,2.0,3.0,4.0,0.0,0.0
2010-03-04,24.0,6.0,4.0,5.0,0.0,0.0
2010-03-05,36.0,4.0,3.0,4.0,0.0,0.0
2010-03-06,23.0,4.0,5.0,5.0,0.0,0.0
2010-03-07,24.0,6.0,4.0,6.0,0.0,0.0
2010-03-08,24.0,2.0,5.0,3.0,0.0,0.0
2010-03-09,27.0,5.0,11.0,3.0,0.0,0.0
2010-03-10,29.0,8.0,5.0,2.0,0.0,0.0
2010-03-11,22.0,5.0,5.0,6.0,0.0,0.0
2010-03-12,26.0,1.0,5.0,5.0,0.0,0.0
