DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,109.0,11.0,28.0,24.0,0.0,0.0
2010-01-02,114.0,15.0,33.0,19.0,0.0,0.0
2010-01-03,111.0,21.0,38.0,27.0,0.0,0.0
2010-01-04,105.0,20.0,35.0,23.0,0.0,0.0
2010-01-05,118.0,22.0,28.0,21.0,0.0,0.0
2010-01-06,116.0,23.0,37.0,20.0,0.0,0.0
2010-01-07,120.0,21.0,33.0,26.0,0.0,0.0
2010-01-08,96.0,14.0,24.0,25.0,0.0,0.0
2010-01-09,108.0,20.0,25.0,23.0,0.0,0.0
2010-01-10,113.0,21.0,30.0,28.0,0.0,0.0
2010-01-11,126.0,29.0,34.0,29.0,0.0,0.0
2010-01-12,120.0,17.0,42.0,32.0,0.0,0.0
2010-01-13,132.0,23.0,35.0,29.0,0.0,0.0
2010-01-14,120.0,22.0,39.0,31.0,0.0,0.0
2010-01-15,121.0,18.0,41.0,25.0,0.0,0.0
2010-01-16,97.0,16.0,33.0,20.0,0.0,0.0
2010-01-17,135.0,20.0,44.0,23.0,0.0,0.0
2010-01-18,118.0,22.0,33.0,30.0,0.0,0.0
2010-01-19,121.0,21.0,38.0,25.0,0.0,0.0
2010-01-20,109.0,24.0,42.0,30.0,0.0,0.0
2010-01-21,112.0,12.0,33.0,26.0,0.0,0.0
2010-01-22,132.0,27.0,39.0,20.0,0.0,0.0
2010-01-23,101.0,16.0,25.0,28.0,0.0,0.0
2010-01-24,112.0,25.0,32.0,24.0,0.0,0.0
2010-01-25,119.0,28.0,51.0,32.0,0.0,0.0
2010-01-26,110.0,22.0,33.0,37.0,0.0,0.0
2010-01-27,117.0,18.0,30.0,32.0,0.0,0.0
2010-01-28,113.0,27.0,28.0,23.0,0.0,0.0
2010-01-29,100.0,30.0,36.0,25.0,0.0,0.0
2010-01-30,96.0,29.0,37.0,30.0,0.0,0.0
2010-01-31,114.0,21.0,31.0,28.0,0.0,0.0
2010-02-01,109.0,11.0,36.0,25.0,0.0,0.0
2010-02-02,148.0,22.0,42.0,38.0,0.0,0.0
2010-02-03,115.0,18.0,33.0,40.0,0.0,0.0
2010-02-04,102.0,21.0,25.0,28.0,0.0,0.0
2010-02-05,118.0,21.0,36.0,34.0,0.0,0.0
2010-02-06,111.0,15.0,34.0,24.0,0.0,0.0
2010-02-07,93.0,23.0,37.0,23.0,0.0,0.0
2010-02-08,124.0,22.0,29.0,23.0,0.0,0.0
2010-02-09,89.0,19.0,35.0,31.0,0.0,0.0
2010-02-10,132.0,22.0,31.0,27.0,0.0,0.0
2010-02-11,96.0,24.0,25.0,36.0,1.0,0.0
2010-02-12,93.0,21.0,30.0,35.0,0.0,0.0
2010-02-13,121.0,14.0,33.0,27.0,1.0,0.0
2010-02-14,110.0,16.0,39.0,24.0,0.0,0.0
2010-02-15,121.0,17.0,42.0,31.0,0.0,0.0
2010-02-16,114.0,19.0,45.0,28.0,0.0,0.0
2010-02-17,121.0,21.0,32.0,26.0,0.0,0.0
2010-02-18,107.0,18.0,36.0,19.0,0.0,0.0
2010-02-19,106.0,23.0,28.0,31.0,0.0,0.0
2010-02-20,120.0,27.0,39.0,33.0,0.0,0.0
2010-02-21,125.0,18.0,43.0,29.0,0.0,0.0
2010-02-22,106.0,22.0,36.0,41.0,0.0,0.0
2010-02-23,129.0,16.0,35.0,33.0,0.0,0.0
2010-02-24,129.0,19.0,40.0,31.0,0.0,0.0
2010-02-25,99.0,20.0,41.0,42.0,0.0,0.0
2010-02-26,115.0,22.0,34.0,21.0,0.0,0.0
2010-02-27,94.0,20.0,30.0,20.0,0.0,0.0
2010-02-28,103.0,17.0,32.0,17.0,0.0,0.0
2010-03-01,117.0,18.0,40.0,19.0,0.0,0.0
2010-03-02,111.0,22.0,38.0,26.0,0.0,0.0
2010-03-03,86.0,18.0,42.0,27.0,0.0,0.0
2010-03-04,111.0,19.0,38.0,26.0,0.0,0.0
2010-03-05,141.0,26.0,40.0,27.0,0.0,0.0
2010-03-06,99.0,16.0,34.0,27.0,0.0,0.0
2010-03-07,112.0,22.0,33.0,24.0,0.0,0.0
2010-03-08,124.0,22.0,42.0,28.0,0.0,0.0
2010-03-09,107.0,15.0,39.0,21.0,0.0,0.0
2010-03-10,107.0,41.0,24.0,28.0,0.0,0.0
2010-03-11,120.0,26.0,47.0,23.0,0.0,0.0
2010-03-12,118.0,18.0,35.0,29.0,0.0,0.0
2010-03-13,125.0,9.0,26.0,39.0,0.0,0.0
2010-03-14,113.0,16.0,38.0,34.0,0.0,0.0
2010-03-15,106.0,21.0,29.0,31.0,0.0,0.0
2010-03-16,106.0,19.0,36.0,28.0,0.0,0.0
2010-03-17,125.0,14.0,24.0,29.0,0.0,0.0
2010-03-18,93.0,24.0,29.0,35.0,0.0,0.0
2010-03-19,99.0,29.0,43.0,20.0,0.0,0.0
2010-03-20,125.0,22.0,28.0,30.0,0.0,0.0
2010-03-21,89.0,21.0,32.0,25.0,0.0,0.0
2010-03-22,109.0,10.0,29.0,27.0,0.0,0.0
2010-03-23,116.0,22.0,30.0,25.0,0.0,0.0
2010-03-24,97.0,22.0,35.0,23.0,0.0,0.0
2010-03-25,131.0,23.0,50.0,29.0,0.0,0.0
2010-03-26,128.0,21.0,40.0,23.0,0.0,0.0
2010-03-27,104.0,24.0,38.0,28.0,0.0,0.0
2010-03-28,110.0,20.0,35.0,32.0,0.0,0.0
2010-03-29,118.0,13.0,35.0,23.0,0.0,0.0
2010-03-30,95.0,26.0,44.0,28.0,0.0,0.0
2010-03-31,110.0,18.0,27.0,31.0,0.0,0.0
2010-04-01,111.0,18.0,41.0,20.0,0.0,0.0
2010-04-02,87.0,21.0,31.0,33.0,0.0,0.0
2010-04-03,106.0,25.0,42.0,33.0,1.0,0.0
2010-04-04,99.0,18.0,34.0,22.0,0.0,0.0
2010-04-05,127.0,19.0,46.0,25.0,0.0,0.0
2010-04-06,109.0,21.0,38.0,26.0,0.0,0.0
2010-04-07,117.0,18.0,34.0,20.0,0.0,0.0
2010-04-08,129.0,17.0,25.0,27.0,0.0,0.0
2010-04-09,101.0,21.0,34.0,22.0,0.0,0.0
2010-04-10,117.0,21.0,25.0,16.0,0.0,0.0
2010-04-11,90.0,17.0,34.0,29.0,0.0,0.0
2010-04-12,116.0,11.0,31.0,29.0,0.0,0.0
2010-04-13,137.0,26.0,33.0,27.0,0.0,0.0
2010-04-14,106.0,25.0,30.0,25.0,0.0,0.0
2010-04-15,107.0,24.0,38.0,27.0,0.0,0.0
2010-04-16,107.0,26.0,33.0,28.0,0.0,0.0
2010-04-17,130.0,16.0,38.0,29.0,0.0,0.0
2010-04-18,122.0,28.0,35.0,23.0,0.0,0.0
2010-04-19,125.0,20.0,31.0,30.0,0.0,0.0
2010-04-20,108.0,15.0,36.0,34.0,0.0,0.0
2010-04-21,121.0,19.0,41.0,24.0,0.0,0.0
2010-04-22,114.0,23.0,46.0,42.0,0.0,0.0
2010-04-23,146.0,24.0,49.0,31.0,0.0,0.0
2010-04-24,129.0,20.0,32.0,18.0,0.0,0.0
2010-04-25,124.0,19.0,40.0,30.0,0.0,0.0
2010-04-26,119.0,16.0,39.0,20.0,0.0,0.0
2010-04-27,110.0,18.0,37.0,30.0,0.0,0.0
2010-04-28,103.0,15.0,38.0,29.0,0.0,0.0
2010-04-29,110.0,25.0,32.0,32.0,0.0,0.0
2010-04-30,103.0,11.0,36.0,34.0,0.0,0.0
2010-05-01,116.0,18.0,36.0,30.0,0.0,0.0
2010-05-02,104.0,18.0,43.0,27.0,0.0,0.0
2010-05-03,109.0,23.0,31.0,20.0,0.0,0.0
2010-05-04,111.0,17.0,48.0,32.0,0.0,0.0
2010-05-05,114.0,16.0,39.0,21.0,0.0,0.0
2010-05-06,130.0,16.0,44.0,36.0,1.0,0.0
2010-05-07,134.0,24.0,32.0,29.0,0.0,0.0
2010-05-08,130.0,26.0,36.0,25.0,0.0,0.0
2010-05-09,123.0,24.0,36.0,23.0,0.0,0.0
2010-05-10,101.0,16.0,38.0,26.0,0.0,0.0
2010-05-11,117.0,24.0,38.0,29.0,0.0,0.0
2010-05-12,118.0,17.0,38.0,27.0,0.0,0.0
2010-05-13,113.0,18.0,38.0,33.0,0.0,0.0
2010-05-14,138.0,25.0,33.0,39.0,1.0,0.0
