DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,DEMAIS OBITOS,COVID19
2010-01-01,0.0,45.0,47.0,54.0,290.0,0.0
2010-01-02,0.0,67.0,52.0,51.0,296.0,0.0
2010-01-03,0.0,57.0,50.0,66.0,284.0,0.0
2010-01-04,1.0,46.0,46.0,61.0,264.0,0.0
2010-01-05,2.0,59.0,43.0,56.0,262.0,0.0
2010-01-06,0.0,49.0,48.0,62.0,288.0,0.0
2010-01-07,0.0,59.0,55.0,63.0,293.0,0.0
2010-01-08,1.0,55.0,62.0,65.0,288.0,0.0
2010-01-09,0.0,52.0,57.0,51.0,264.0,0.0
2010-01-10,0.0,57.0,46.0,56.0,256.0,0.0
2010-01-11,0.0,57.0,45.0,64.0,308.0,0.0
2010-01-12,1.0,59.0,68.0,59.0,288.0,0.0
2010-01-13,1.0,55.0,59.0,60.0,288.0,0.0
2010-01-14,0.0,63.0,60.0,49.0,291.0,0.0
2010-01-15,1.0,48.0,56.0,70.0,287.0,0.0
2010-01-16,0.0,50.0,57.0,68.0,284.0,0.0
2010-01-17,0.0,52.0,52.0,62.0,272.0,0.0
2010-01-18,0.0,50.0,66.0,44.0,290.0,0.0
2010-01-19,0.0,47.0,55.0,52.0,269.0,0.0
2010-01-20,0.0,69.0,40.0,51.0,289.0,0.0
2010-01-21,0.0,67.0,44.0,61.0,264.0,0.0
2010-01-22,0.0,50.0,47.0,62.0,252.0,0.0
2010-01-23,0.0,60.0,58.0,65.0,256.0,0.0
2010-01-24,0.0,60.0,51.0,64.0,312.0,0.0
2010-01-25,0.0,49.0,53.0,63.0,291.0,0.0
2010-01-26,0.0,58.0,66.0,71.0,284.0,0.0
2010-01-27,0.0,48.0,50.0,61.0,275.0,0.0
2010-01-28,1.0,48.0,54.0,66.0,269.0,0.0
2010-01-29,0.0,65.0,49.0,63.0,300.0,0.0
2010-01-30,0.0,59.0,54.0,60.0,279.0,0.0
2010-01-31,0.0,56.0,56.0,55.0,260.0,0.0
2010-02-01,0.0,65.0,51.0,75.0,290.0,0.0
2010-02-02,1.0,63.0,71.0,64.0,306.0,0.0
2010-02-03,0.0,50.0,61.0,74.0,294.0,0.0
2010-02-04,0.0,69.0,53.0,74.0,266.0,0.0
2010-02-05,0.0,56.0,62.0,68.0,290.0,0.0
2010-02-06,0.0,54.0,55.0,62.0,272.0,0.0
2010-02-07,0.0,56.0,59.0,72.0,257.0,0.0
2010-02-08,0.0,46.0,60.0,67.0,295.0,0.0
2010-02-09,0.0,42.0,77.0,64.0,279.0,0.0
2010-02-10,0.0,53.0,48.0,60.0,282.0,0.0
2010-02-11,0.0,59.0,56.0,53.0,261.0,0.0
2010-02-12,0.0,57.0,38.0,52.0,280.0,0.0
2010-02-13,0.0,59.0,49.0,57.0,292.0,0.0
2010-02-14,0.0,53.0,46.0,62.0,280.0,0.0
2010-02-15,0.0,65.0,50.0,61.0,309.0,0.0
2010-02-16,0.0,50.0,37.0,57.0,293.0,0.0
2010-02-17,0.0,54.0,67.0,69.0,265.0,0.0
2010-02-18,0.0,57.0,61.0,52.0,281.0,0.0
2010-02-19,0.0,53.0,44.0,53.0,277.0,0.0
2010-02-20,0.0,50.0,53.0,50.0,282.0,0.0
2010-02-21,1.0,61.0,59.0,49.0,259.0,0.0
2010-02-22,0.0,54.0,62.0,62.0,272.0,0.0
2010-02-23,0.0,59.0,46.0,72.0,261.0,0.0
2010-02-24,1.0,50.0,57.0,55.0,279.0,0.0
2010-02-25,0.0,50.0,57.0,63.0,295.0,0.0
2010-02-26,0.0,54.0,52.0,42.0,309.0,0.0
2010-02-27,0.0,50.0,53.0,56.0,290.0,0.0
