DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,26.0,2.0,10.0,6.0,0.0,0.0
2010-01-02,26.0,3.0,3.0,7.0,0.0,0.0
2010-01-03,30.0,10.0,8.0,3.0,0.0,0.0
2010-01-04,20.0,4.0,13.0,4.0,0.0,0.0
2010-01-05,31.0,5.0,9.0,6.0,0.0,0.0
2010-01-06,29.0,10.0,9.0,6.0,0.0,0.0
2010-01-07,20.0,6.0,7.0,11.0,0.0,0.0
2010-01-08,35.0,5.0,3.0,6.0,0.0,0.0
2010-01-09,31.0,4.0,9.0,9.0,0.0,0.0
2010-01-10,21.0,3.0,7.0,11.0,0.0,0.0
2010-01-11,27.0,3.0,8.0,10.0,1.0,0.0
2010-01-12,27.0,4.0,10.0,6.0,0.0,0.0
2010-01-13,27.0,7.0,7.0,14.0,0.0,0.0
2010-01-14,27.0,6.0,8.0,5.0,0.0,0.0
2010-01-15,24.0,5.0,8.0,4.0,0.0,0.0
2010-01-16,29.0,5.0,10.0,4.0,0.0,0.0
2010-01-17,31.0,8.0,6.0,6.0,0.0,0.0
2010-01-18,29.0,3.0,7.0,13.0,0.0,0.0
2010-01-19,31.0,6.0,5.0,5.0,0.0,0.0
2010-01-20,26.0,2.0,11.0,7.0,0.0,0.0
2010-01-21,34.0,4.0,3.0,11.0,0.0,0.0
2010-01-22,25.0,5.0,11.0,7.0,0.0,0.0
2010-01-23,25.0,2.0,10.0,6.0,0.0,0.0
2010-01-24,17.0,2.0,7.0,6.0,0.0,0.0
2010-01-25,32.0,5.0,7.0,11.0,0.0,0.0
2010-01-26,20.0,6.0,6.0,13.0,0.0,0.0
2010-01-27,26.0,5.0,9.0,5.0,0.0,0.0
2010-01-28,26.0,4.0,13.0,8.0,0.0,0.0
2010-01-29,22.0,8.0,8.0,6.0,0.0,0.0
2010-01-30,39.0,3.0,12.0,7.0,0.0,0.0
2010-01-31,28.0,10.0,8.0,7.0,0.0,0.0
2010-02-01,26.0,7.0,6.0,6.0,0.0,0.0
2010-02-02,26.0,6.0,6.0,8.0,0.0,0.0
2010-02-03,29.0,3.0,9.0,7.0,0.0,0.0
2010-02-04,35.0,6.0,7.0,9.0,0.0,0.0
2010-02-05,35.0,3.0,7.0,9.0,0.0,0.0
2010-02-06,30.0,6.0,4.0,10.0,0.0,0.0
2010-02-07,31.0,6.0,5.0,4.0,0.0,0.0
2010-02-08,25.0,1.0,9.0,3.0,0.0,0.0
2010-02-09,14.0,3.0,9.0,13.0,0.0,0.0
2010-02-10,22.0,6.0,5.0,11.0,0.0,0.0
2010-02-11,23.0,1.0,8.0,4.0,0.0,0.0
2010-02-12,26.0,6.0,13.0,10.0,0.0,0.0
2010-02-13,24.0,5.0,6.0,4.0,0.0,0.0
2010-02-14,26.0,6.0,8.0,4.0,0.0,0.0
2010-02-15,37.0,12.0,10.0,4.0,0.0,0.0
2010-02-16,22.0,5.0,7.0,9.0,0.0,0.0
2010-02-17,35.0,5.0,12.0,5.0,0.0,0.0
2010-02-18,26.0,8.0,8.0,7.0,0.0,0.0
2010-02-19,34.0,6.0,5.0,12.0,1.0,0.0
2010-02-20,33.0,0.0,10.0,6.0,0.0,0.0
2010-02-21,27.0,4.0,12.0,9.0,0.0,0.0
2010-02-22,32.0,5.0,13.0,6.0,0.0,0.0
2010-02-23,21.0,4.0,11.0,5.0,0.0,0.0
2010-02-24,23.0,5.0,3.0,7.0,0.0,0.0
2010-02-25,18.0,4.0,4.0,8.0,0.0,0.0
2010-02-26,31.0,4.0,5.0,8.0,0.0,0.0
2010-02-27,27.0,7.0,11.0,3.0,0.0,0.0
2010-02-28,26.0,4.0,14.0,5.0,0.0,0.0
2010-03-01,26.0,5.0,11.0,7.0,0.0,0.0
2010-03-02,35.0,3.0,8.0,9.0,0.0,0.0
2010-03-03,30.0,8.0,7.0,6.0,0.0,0.0
2010-03-04,28.0,6.0,11.0,7.0,0.0,0.0
2010-03-05,26.0,6.0,7.0,2.0,0.0,0.0
2010-03-06,39.0,8.0,7.0,2.0,0.0,0.0
2010-03-07,29.0,8.0,8.0,10.0,0.0,0.0
2010-03-08,23.0,5.0,8.0,6.0,0.0,0.0
2010-03-09,28.0,3.0,3.0,4.0,0.0,0.0
2010-03-10,29.0,8.0,4.0,12.0,0.0,0.0
2010-03-11,32.0,6.0,10.0,4.0,0.0,0.0
2010-03-12,26.0,5.0,6.0,5.0,0.0,0.0
2010-03-13,20.0,3.0,6.0,5.0,0.0,0.0
2010-03-14,29.0,5.0,6.0,9.0,0.0,0.0
2010-03-15,22.0,3.0,7.0,6.0,0.0,0.0
2010-03-16,26.0,11.0,2.0,8.0,0.0,0.0
2010-03-17,26.0,15.0,10.0,4.0,0.0,0.0
2010-03-18,30.0,2.0,10.0,5.0,0.0,0.0
2010-03-19,25.0,10.0,2.0,1.0,0.0,0.0
2010-03-20,27.0,5.0,4.0,8.0,1.0,0.0
2010-03-21,19.0,6.0,6.0,6.0,0.0,0.0
2010-03-22,19.0,5.0,6.0,9.0,0.0,0.0
2010-03-23,24.0,5.0,10.0,11.0,0.0,0.0
2010-03-24,18.0,6.0,9.0,6.0,0.0,0.0
2010-03-25,30.0,6.0,2.0,8.0,0.0,0.0
2010-03-26,22.0,7.0,8.0,11.0,0.0,0.0
2010-03-27,31.0,8.0,8.0,5.0,0.0,0.0
2010-03-28,25.0,6.0,6.0,9.0,0.0,0.0
2010-03-29,28.0,6.0,11.0,4.0,0.0,0.0
2010-03-30,18.0,2.0,7.0,13.0,0.0,0.0
2010-03-31,31.0,5.0,3.0,3.0,0.0,0.0
2010-04-01,22.0,5.0,9.0,6.0,0.0,0.0
2010-04-02,17.0,2.0,10.0,3.0,0.0,0.0
2010-04-03,34.0,5.0,6.0,11.0,0.0,0.0
2010-04-04,26.0,2.0,5.0,11.0,0.0,0.0
2010-04-05,25.0,2.0,7.0,7.0,0.0,0.0
2010-04-06,26.0,3.0,9.0,13.0,0.0,0.0
2010-04-07,26.0,5.0,10.0,6.0,0.0,0.0
2010-04-08,21.0,6.0,7.0,6.0,0.0,0.0
2010-04-09,24.0,7.0,7.0,7.0,0.0,0.0
2010-04-10,27.0,4.0,6.0,9.0,0.0,0.0
2010-04-11,28.0,2.0,5.0,7.0,0.0,0.0
2010-04-12,37.0,2.0,7.0,9.0,0.0,0.0
