DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,55.0,6.0,15.0,17.0,0.0,0.0
2010-01-02,59.0,5.0,13.0,17.0,0.0,0.0
2010-01-03,63.0,12.0,14.0,18.0,0.0,0.0
2010-01-04,50.0,11.0,9.0,8.0,0.0,0.0
2010-01-05,60.0,9.0,11.0,11.0,0.0,0.0
2010-01-06,56.0,11.0,11.0,18.0,0.0,0.0
2010-01-07,53.0,13.0,11.0,16.0,0.0,0.0
2010-01-08,55.0,10.0,11.0,17.0,0.0,0.0
2010-01-09,49.0,13.0,11.0,13.0,0.0,0.0
2010-01-10,49.0,7.0,17.0,11.0,0.0,0.0
2010-01-11,57.0,8.0,11.0,13.0,0.0,0.0
2010-01-12,65.0,10.0,9.0,13.0,0.0,0.0
2010-01-13,64.0,16.0,15.0,13.0,0.0,0.0
2010-01-14,42.0,14.0,14.0,19.0,0.0,0.0
2010-01-15,52.0,14.0,11.0,19.0,0.0,0.0
2010-01-16,48.0,7.0,14.0,15.0,0.0,0.0
2010-01-17,57.0,10.0,15.0,17.0,0.0,0.0
2010-01-18,67.0,13.0,11.0,12.0,0.0,0.0
2010-01-19,57.0,8.0,11.0,15.0,0.0,0.0
2010-01-20,54.0,7.0,13.0,8.0,0.0,0.0
2010-01-21,56.0,3.0,16.0,12.0,0.0,0.0
2010-01-22,42.0,7.0,11.0,15.0,0.0,0.0
2010-01-23,57.0,17.0,15.0,14.0,0.0,0.0
2010-01-24,55.0,6.0,15.0,21.0,0.0,0.0
2010-01-25,65.0,8.0,9.0,14.0,0.0,0.0
2010-01-26,55.0,12.0,12.0,12.0,0.0,0.0
2010-01-27,56.0,16.0,12.0,23.0,0.0,0.0
2010-01-28,56.0,8.0,12.0,20.0,0.0,0.0
2010-01-29,66.0,8.0,12.0,16.0,0.0,0.0
2010-01-30,48.0,10.0,16.0,13.0,0.0,0.0
2010-01-31,56.0,11.0,22.0,17.0,0.0,0.0
2010-02-01,51.0,6.0,22.0,19.0,0.0,0.0
2010-02-02,52.0,15.0,14.0,12.0,0.0,0.0
2010-02-03,49.0,10.0,16.0,18.0,0.0,0.0
2010-02-04,63.0,17.0,18.0,17.0,0.0,0.0
2010-02-05,55.0,13.0,7.0,15.0,0.0,0.0
2010-02-06,49.0,8.0,17.0,10.0,0.0,0.0
2010-02-07,44.0,14.0,9.0,21.0,0.0,0.0
2010-02-08,61.0,16.0,10.0,13.0,0.0,0.0
2010-02-09,76.0,11.0,6.0,17.0,0.0,0.0
2010-02-10,53.0,6.0,9.0,10.0,0.0,0.0
2010-02-11,66.0,10.0,15.0,20.0,0.0,0.0
2010-02-12,49.0,3.0,8.0,14.0,0.0,0.0
2010-02-13,48.0,8.0,13.0,9.0,0.0,0.0
2010-02-14,52.0,13.0,10.0,23.0,0.0,0.0
