DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,120.0,13.0,35.0,28.0,0.0,0.0
2010-01-02,111.0,27.0,48.0,45.0,0.0,0.0
2010-01-03,108.0,24.0,37.0,38.0,0.0,0.0
2010-01-04,129.0,26.0,36.0,29.0,0.0,0.0
2010-01-05,107.0,19.0,29.0,29.0,0.0,0.0
2010-01-06,103.0,29.0,43.0,32.0,0.0,0.0
2010-01-07,102.0,24.0,39.0,34.0,0.0,0.0
2010-01-08,124.0,24.0,41.0,45.0,0.0,0.0
2010-01-09,104.0,21.0,44.0,45.0,0.0,0.0
2010-01-10,129.0,33.0,48.0,36.0,0.0,0.0
2010-01-11,123.0,34.0,51.0,50.0,0.0,0.0
2010-01-12,152.0,35.0,62.0,39.0,0.0,0.0
2010-01-13,156.0,31.0,55.0,42.0,0.0,0.0
2010-01-14,137.0,28.0,57.0,47.0,0.0,0.0
2010-01-15,124.0,18.0,53.0,33.0,0.0,0.0
2010-01-16,112.0,27.0,48.0,36.0,0.0,0.0
2010-01-17,116.0,29.0,48.0,46.0,0.0,0.0
2010-01-18,127.0,23.0,46.0,33.0,0.0,0.0
2010-01-19,120.0,29.0,42.0,46.0,0.0,0.0
2010-01-20,111.0,33.0,56.0,38.0,0.0,0.0
2010-01-21,116.0,27.0,52.0,30.0,0.0,0.0
2010-01-22,105.0,19.0,34.0,33.0,0.0,0.0
2010-01-23,96.0,21.0,37.0,29.0,0.0,0.0
2010-01-24,93.0,20.0,49.0,31.0,0.0,0.0
2010-01-25,113.0,17.0,41.0,28.0,0.0,0.0
2010-01-26,118.0,21.0,39.0,39.0,0.0,0.0
2010-01-27,113.0,40.0,42.0,31.0,0.0,0.0
2010-01-28,115.0,22.0,25.0,32.0,0.0,0.0
2010-01-29,111.0,21.0,37.0,38.0,0.0,0.0
2010-01-30,112.0,31.0,42.0,24.0,0.0,0.0
2010-01-31,103.0,25.0,31.0,40.0,0.0,0.0
2010-02-01,108.0,27.0,38.0,31.0,0.0,0.0
2010-02-02,117.0,24.0,37.0,34.0,0.0,0.0
2010-02-03,120.0,27.0,39.0,36.0,0.0,0.0
2010-02-04,124.0,19.0,41.0,36.0,0.0,0.0
2010-02-05,122.0,34.0,49.0,38.0,0.0,0.0
2010-02-06,124.0,23.0,47.0,34.0,0.0,0.0
2010-02-07,140.0,23.0,53.0,27.0,1.0,0.0
2010-02-08,161.0,41.0,55.0,36.0,0.0,0.0
2010-02-09,182.0,44.0,53.0,57.0,0.0,0.0
2010-02-10,123.0,40.0,54.0,51.0,0.0,0.0
2010-02-11,117.0,23.0,50.0,36.0,0.0,0.0
2010-02-12,129.0,28.0,54.0,43.0,0.0,0.0
2010-02-13,108.0,34.0,47.0,32.0,0.0,0.0
2010-02-14,121.0,35.0,56.0,37.0,0.0,0.0
2010-02-15,147.0,38.0,40.0,48.0,0.0,0.0
2010-02-16,140.0,27.0,36.0,41.0,0.0,0.0
2010-02-17,138.0,21.0,59.0,33.0,0.0,0.0
2010-02-18,116.0,26.0,61.0,37.0,0.0,0.0
2010-02-19,90.0,20.0,43.0,32.0,0.0,0.0
2010-02-20,107.0,17.0,54.0,51.0,0.0,0.0
2010-02-21,100.0,28.0,45.0,32.0,0.0,0.0
2010-02-22,98.0,19.0,38.0,50.0,0.0,0.0
2010-02-23,113.0,24.0,36.0,27.0,0.0,0.0
2010-02-24,85.0,18.0,62.0,39.0,0.0,0.0
2010-02-25,96.0,26.0,49.0,34.0,0.0,0.0
2010-02-26,95.0,20.0,44.0,42.0,0.0,0.0
2010-02-27,108.0,23.0,39.0,31.0,0.0,0.0
2010-02-28,101.0,21.0,58.0,31.0,0.0,0.0
2010-03-01,81.0,23.0,25.0,35.0,0.0,0.0
2010-03-02,111.0,22.0,38.0,32.0,0.0,0.0
2010-03-03,120.0,19.0,37.0,34.0,0.0,0.0
2010-03-04,111.0,21.0,38.0,22.0,0.0,0.0
2010-03-05,106.0,17.0,38.0,40.0,0.0,0.0
2010-03-06,107.0,24.0,32.0,27.0,0.0,0.0
2010-03-07,112.0,26.0,45.0,26.0,0.0,0.0
2010-03-08,114.0,25.0,36.0,39.0,0.0,0.0
2010-03-09,134.0,19.0,43.0,33.0,0.0,0.0
2010-03-10,103.0,31.0,34.0,44.0,0.0,0.0
2010-03-11,123.0,31.0,39.0,27.0,0.0,0.0
2010-03-12,107.0,27.0,41.0,38.0,0.0,0.0
2010-03-13,111.0,29.0,39.0,30.0,0.0,0.0
2010-03-14,113.0,28.0,46.0,42.0,0.0,0.0
2010-03-15,121.0,20.0,55.0,26.0,0.0,0.0
2010-03-16,97.0,25.0,25.0,42.0,0.0,0.0
2010-03-17,98.0,20.0,43.0,31.0,0.0,0.0
2010-03-18,81.0,14.0,32.0,40.0,0.0,0.0
2010-03-19,111.0,18.0,38.0,36.0,0.0,0.0
2010-03-20,109.0,22.0,41.0,27.0,0.0,0.0
2010-03-21,101.0,18.0,43.0,40.0,0.0,0.0
2010-03-22,105.0,21.0,38.0,33.0,0.0,0.0
2010-03-23,91.0,25.0,40.0,41.0,0.0,0.0
2010-03-24,111.0,35.0,30.0,39.0,0.0,0.0
2010-03-25,110.0,20.0,41.0,31.0,0.0,0.0
2010-03-26,98.0,29.0,31.0,26.0,0.0,0.0
2010-03-27,109.0,17.0,40.0,33.0,0.0,0.0
2010-03-28,88.0,20.0,31.0,32.0,0.0,0.0
2010-03-29,99.0,23.0,37.0,27.0,0.0,0.0
2010-03-30,108.0,17.0,43.0,32.0,0.0,0.0
2010-03-31,102.0,14.0,37.0,39.0,0.0,0.0
2010-04-01,91.0,19.0,41.0,28.0,0.0,0.0
2010-04-02,91.0,20.0,36.0,22.0,0.0,0.0
2010-04-03,107.0,25.0,40.0,29.0,0.0,0.0
2010-04-04,95.0,20.0,43.0,37.0,0.0,0.0
2010-04-05,104.0,26.0,35.0,29.0,0.0,0.0
2010-04-06,121.0,23.0,32.0,33.0,0.0,0.0
2010-04-07,94.0,18.0,31.0,28.0,0.0,0.0
2010-04-08,106.0,21.0,37.0,28.0,0.0,0.0
2010-04-09,106.0,17.0,33.0,34.0,0.0,0.0
2010-04-10,104.0,15.0,43.0,31.0,0.0,0.0
2010-04-11,101.0,20.0,53.0,31.0,0.0,0.0
2010-04-12,90.0,17.0,30.0,39.0,0.0,0.0
2010-04-13,130.0,23.0,31.0,34.0,0.0,0.0
2010-04-14,109.0,21.0,41.0,37.0,0.0,0.0
2010-04-15,100.0,25.0,33.0,41.0,0.0,0.0
2010-04-16,124.0,19.0,38.0,28.0,0.0,0.0
2010-04-17,120.0,29.0,48.0,28.0,0.0,0.0
2010-04-18,109.0,16.0,51.0,29.0,0.0,0.0
2010-04-19,116.0,21.0,27.0,29.0,0.0,0.0
2010-04-20,101.0,23.0,42.0,28.0,0.0,0.0
2010-04-21,85.0,33.0,43.0,35.0,0.0,0.0
2010-04-22,87.0,23.0,47.0,45.0,0.0,0.0
2010-04-23,87.0,22.0,41.0,34.0,0.0,0.0
2010-04-24,100.0,28.0,40.0,35.0,0.0,0.0
2010-04-25,109.0,36.0,50.0,27.0,0.0,0.0
2010-04-26,109.0,19.0,42.0,41.0,0.0,0.0
2010-04-27,107.0,27.0,40.0,25.0,0.0,0.0
2010-04-28,93.0,21.0,35.0,31.0,0.0,0.0
2010-04-29,109.0,24.0,49.0,36.0,0.0,0.0
2010-04-30,104.0,13.0,31.0,32.0,0.0,0.0
2010-05-01,120.0,24.0,33.0,37.0,0.0,0.0
2010-05-02,102.0,23.0,38.0,39.0,0.0,0.0
2010-05-03,106.0,26.0,32.0,28.0,0.0,0.0
2010-05-04,113.0,28.0,29.0,34.0,0.0,0.0
2010-05-05,117.0,21.0,34.0,22.0,0.0,0.0
2010-05-06,100.0,15.0,39.0,34.0,0.0,0.0
2010-05-07,115.0,25.0,38.0,32.0,0.0,0.0
2010-05-08,108.0,24.0,36.0,35.0,0.0,0.0
2010-05-09,107.0,27.0,31.0,29.0,0.0,0.0
2010-05-10,112.0,33.0,43.0,30.0,0.0,0.0
2010-05-11,110.0,19.0,27.0,25.0,0.0,0.0
2010-05-12,110.0,19.0,38.0,25.0,0.0,0.0
2010-05-13,106.0,27.0,36.0,31.0,0.0,0.0
2010-05-14,122.0,27.0,46.0,32.0,0.0,0.0
2010-05-15,129.0,16.0,34.0,40.0,0.0,0.0
2010-05-16,129.0,14.0,46.0,34.0,0.0,0.0
2010-05-17,107.0,20.0,32.0,31.0,0.0,0.0
2010-05-18,123.0,17.0,49.0,29.0,0.0,0.0
2010-05-19,111.0,25.0,36.0,31.0,0.0,0.0
2010-05-20,125.0,18.0,51.0,32.0,0.0,0.0
2010-05-21,124.0,16.0,44.0,26.0,0.0,0.0
2010-05-22,120.0,22.0,32.0,29.0,0.0,0.0
2010-05-23,134.0,22.0,38.0,35.0,0.0,0.0
2010-05-24,103.0,24.0,37.0,40.0,0.0,0.0
2010-05-25,115.0,30.0,37.0,38.0,0.0,0.0
2010-05-26,102.0,26.0,46.0,39.0,0.0,0.0
2010-05-27,107.0,23.0,46.0,29.0,0.0,0.0
2010-05-28,130.0,16.0,45.0,28.0,0.0,0.0
2010-05-29,110.0,23.0,52.0,34.0,0.0,0.0
2010-05-30,124.0,24.0,46.0,23.0,0.0,0.0
2010-05-31,131.0,28.0,39.0,28.0,0.0,0.0
2010-06-01,102.0,23.0,35.0,36.0,0.0,0.0
2010-06-02,132.0,20.0,46.0,31.0,0.0,0.0
2010-06-03,129.0,20.0,46.0,30.0,0.0,0.0
2010-06-04,111.0,28.0,30.0,36.0,0.0,0.0
2010-06-05,124.0,23.0,39.0,34.0,0.0,0.0
2010-06-06,106.0,19.0,47.0,28.0,0.0,0.0
2010-06-07,117.0,19.0,45.0,41.0,0.0,0.0
2010-06-08,132.0,31.0,54.0,42.0,0.0,0.0
2010-06-09,118.0,21.0,43.0,33.0,0.0,0.0
2010-06-10,112.0,37.0,39.0,38.0,0.0,0.0
2010-06-11,140.0,27.0,39.0,21.0,0.0,0.0
2010-06-12,126.0,23.0,43.0,32.0,0.0,0.0
2010-06-13,103.0,31.0,46.0,34.0,0.0,0.0
2010-06-14,137.0,25.0,39.0,27.0,0.0,0.0
2010-06-15,128.0,20.0,39.0,31.0,0.0,0.0
2010-06-16,119.0,27.0,37.0,42.0,0.0,0.0
2010-06-17,113.0,36.0,52.0,26.0,0.0,0.0
2010-06-18,134.0,26.0,57.0,44.0,0.0,0.0
2010-06-19,125.0,19.0,40.0,30.0,0.0,0.0
2010-06-20,111.0,27.0,46.0,44.0,0.0,0.0
2010-06-21,134.0,25.0,66.0,38.0,0.0,0.0
2010-06-22,125.0,28.0,56.0,38.0,0.0,0.0
2010-06-23,113.0,21.0,47.0,24.0,0.0,0.0
2010-06-24,115.0,16.0,55.0,33.0,0.0,0.0
2010-06-25,111.0,21.0,47.0,34.0,0.0,0.0
2010-06-26,122.0,23.0,38.0,51.0,0.0,0.0
2010-06-27,118.0,15.0,51.0,25.0,0.0,0.0
2010-06-28,116.0,13.0,51.0,20.0,0.0,0.0
2010-06-29,133.0,16.0,46.0,40.0,0.0,0.0
2010-06-30,134.0,16.0,52.0,35.0,0.0,0.0
2010-07-01,129.0,28.0,70.0,46.0,0.0,0.0
2010-07-02,97.0,30.0,37.0,28.0,0.0,0.0
2010-07-03,111.0,24.0,50.0,35.0,0.0,0.0
2010-07-04,111.0,29.0,55.0,50.0,0.0,0.0
2010-07-05,124.0,36.0,45.0,37.0,0.0,0.0
2010-07-06,124.0,38.0,53.0,36.0,0.0,0.0
2010-07-07,111.0,27.0,46.0,24.0,0.0,0.0
2010-07-08,127.0,27.0,46.0,31.0,0.0,0.0
2010-07-09,141.0,30.0,38.0,33.0,0.0,0.0
2010-07-10,109.0,28.0,55.0,36.0,0.0,0.0
2010-07-11,116.0,26.0,58.0,43.0,0.0,0.0
2010-07-12,111.0,21.0,43.0,38.0,0.0,0.0
2010-07-13,137.0,24.0,46.0,28.0,0.0,0.0
2010-07-14,120.0,25.0,44.0,46.0,0.0,0.0
2010-07-15,108.0,9.0,45.0,33.0,0.0,0.0
