DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,83.0,6.0,28.0,18.0,0.0,0.0
2010-01-02,73.0,12.0,22.0,16.0,0.0,0.0
2010-01-03,88.0,10.0,24.0,26.0,0.0,0.0
2010-01-04,94.0,11.0,24.0,15.0,0.0,0.0
2010-01-05,93.0,11.0,27.0,14.0,0.0,0.0
2010-01-06,94.0,14.0,17.0,9.0,0.0,0.0
2010-01-07,82.0,14.0,24.0,18.0,0.0,0.0
2010-01-08,76.0,12.0,32.0,27.0,1.0,0.0
2010-01-09,56.0,9.0,27.0,18.0,0.0,0.0
2010-01-10,90.0,13.0,25.0,26.0,0.0,0.0
2010-01-11,82.0,11.0,33.0,12.0,0.0,0.0
2010-01-12,83.0,6.0,27.0,28.0,0.0,0.0
2010-01-13,97.0,5.0,22.0,17.0,0.0,0.0
2010-01-14,78.0,5.0,15.0,16.0,0.0,0.0
2010-01-15,87.0,5.0,21.0,17.0,0.0,0.0
2010-01-16,84.0,10.0,26.0,18.0,0.0,0.0
2010-01-17,76.0,18.0,24.0,21.0,0.0,0.0
2010-01-18,96.0,18.0,33.0,11.0,0.0,0.0
2010-01-19,81.0,15.0,22.0,10.0,0.0,0.0
2010-01-20,92.0,12.0,22.0,22.0,0.0,0.0
2010-01-21,67.0,10.0,22.0,17.0,0.0,0.0
2010-01-22,76.0,19.0,26.0,21.0,0.0,0.0
2010-01-23,77.0,10.0,28.0,13.0,0.0,0.0
2010-01-24,81.0,9.0,29.0,16.0,0.0,0.0
2010-01-25,90.0,12.0,20.0,23.0,0.0,0.0
2010-01-26,78.0,8.0,29.0,19.0,0.0,0.0
2010-01-27,64.0,12.0,19.0,23.0,0.0,0.0
2010-01-28,90.0,13.0,28.0,21.0,0.0,0.0
2010-01-29,92.0,12.0,21.0,21.0,0.0,0.0
2010-01-30,74.0,14.0,18.0,19.0,0.0,0.0
2010-01-31,92.0,14.0,23.0,15.0,0.0,0.0
2010-02-01,83.0,16.0,21.0,15.0,0.0,0.0
2010-02-02,85.0,18.0,31.0,18.0,0.0,0.0
2010-02-03,113.0,18.0,36.0,29.0,0.0,0.0
2010-02-04,119.0,25.0,46.0,43.0,0.0,0.0
2010-02-05,110.0,21.0,59.0,43.0,0.0,0.0
2010-02-06,107.0,15.0,53.0,31.0,0.0,0.0
2010-02-07,116.0,16.0,54.0,30.0,0.0,0.0
2010-02-08,101.0,12.0,41.0,37.0,0.0,0.0
2010-02-09,68.0,12.0,27.0,25.0,0.0,0.0
2010-02-10,91.0,17.0,32.0,29.0,0.0,0.0
2010-02-11,99.0,15.0,45.0,24.0,0.0,0.0
