DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,41.0,5.0,11.0,7.0,0.0,0.0
2010-01-02,35.0,3.0,9.0,5.0,0.0,0.0
2010-01-03,22.0,5.0,7.0,10.0,0.0,0.0
2010-01-04,37.0,7.0,13.0,6.0,0.0,0.0
2010-01-05,28.0,5.0,8.0,7.0,0.0,0.0
2010-01-06,48.0,4.0,9.0,11.0,0.0,0.0
2010-01-07,31.0,5.0,16.0,6.0,0.0,0.0
2010-01-08,32.0,5.0,12.0,9.0,0.0,0.0
2010-01-09,34.0,11.0,6.0,9.0,0.0,0.0
2010-01-10,29.0,2.0,8.0,4.0,0.0,0.0
2010-01-11,33.0,7.0,13.0,8.0,0.0,0.0
2010-01-12,39.0,5.0,11.0,3.0,0.0,0.0
2010-01-13,33.0,2.0,8.0,5.0,0.0,0.0
2010-01-14,38.0,11.0,7.0,6.0,0.0,0.0
2010-01-15,34.0,2.0,10.0,8.0,0.0,0.0
2010-01-16,36.0,3.0,7.0,4.0,0.0,0.0
2010-01-17,38.0,3.0,4.0,10.0,0.0,0.0
2010-01-18,44.0,3.0,12.0,12.0,0.0,0.0
2010-01-19,31.0,5.0,6.0,3.0,0.0,0.0
2010-01-20,33.0,6.0,8.0,7.0,0.0,0.0
2010-01-21,30.0,5.0,6.0,11.0,0.0,0.0
2010-01-22,39.0,3.0,6.0,2.0,0.0,0.0
2010-01-23,32.0,4.0,10.0,8.0,0.0,0.0
2010-01-24,36.0,4.0,13.0,7.0,0.0,0.0
2010-01-25,18.0,6.0,10.0,6.0,0.0,0.0
2010-01-26,39.0,5.0,9.0,7.0,0.0,0.0
2010-01-27,29.0,7.0,6.0,8.0,0.0,0.0
2010-01-28,40.0,5.0,5.0,4.0,0.0,0.0
2010-01-29,36.0,5.0,10.0,3.0,0.0,0.0
2010-01-30,33.0,3.0,9.0,3.0,0.0,0.0
2010-01-31,42.0,4.0,8.0,3.0,0.0,0.0
2010-02-01,43.0,5.0,9.0,8.0,0.0,0.0
2010-02-02,35.0,5.0,13.0,7.0,0.0,0.0
2010-02-03,42.0,9.0,9.0,14.0,0.0,0.0
2010-02-04,46.0,11.0,17.0,11.0,0.0,0.0
2010-02-05,55.0,6.0,18.0,16.0,0.0,0.0
2010-02-06,52.0,12.0,12.0,18.0,0.0,0.0
2010-02-07,62.0,10.0,25.0,13.0,0.0,0.0
2010-02-08,53.0,10.0,25.0,12.0,0.0,0.0
2010-02-09,43.0,8.0,18.0,6.0,0.0,0.0
2010-02-10,33.0,3.0,12.0,12.0,0.0,0.0
2010-02-11,39.0,9.0,18.0,17.0,0.0,0.0
2010-02-12,38.0,3.0,8.0,16.0,0.0,0.0
2010-02-13,47.0,7.0,13.0,12.0,0.0,0.0
2010-02-14,32.0,5.0,11.0,10.0,0.0,0.0
2010-02-15,38.0,6.0,8.0,12.0,0.0,0.0
2010-02-16,25.0,7.0,8.0,8.0,0.0,0.0
2010-02-17,40.0,2.0,13.0,9.0,0.0,0.0
2010-02-18,34.0,8.0,6.0,7.0,0.0,0.0
2010-02-19,39.0,5.0,13.0,6.0,0.0,0.0
2010-02-20,40.0,10.0,10.0,7.0,0.0,0.0
2010-02-21,27.0,7.0,12.0,7.0,0.0,0.0
2010-02-22,40.0,5.0,7.0,5.0,0.0,0.0
2010-02-23,35.0,8.0,6.0,6.0,0.0,0.0
2010-02-24,46.0,6.0,9.0,7.0,0.0,0.0
2010-02-25,34.0,4.0,7.0,9.0,0.0,0.0
2010-02-26,20.0,10.0,7.0,6.0,0.0,0.0
2010-02-27,31.0,5.0,6.0,6.0,0.0,0.0
2010-02-28,24.0,9.0,5.0,8.0,0.0,0.0
2010-03-01,29.0,6.0,12.0,10.0,0.0,0.0
2010-03-02,36.0,4.0,7.0,8.0,0.0,0.0
2010-03-03,32.0,7.0,11.0,7.0,0.0,0.0
2010-03-04,34.0,5.0,12.0,10.0,0.0,0.0
2010-03-05,34.0,1.0,6.0,10.0,0.0,0.0
2010-03-06,35.0,8.0,13.0,9.0,0.0,0.0
2010-03-07,26.0,5.0,12.0,6.0,0.0,0.0
2010-03-08,42.0,7.0,8.0,7.0,0.0,0.0
2010-03-09,30.0,5.0,8.0,9.0,0.0,0.0
2010-03-10,34.0,8.0,8.0,6.0,0.0,0.0
2010-03-11,43.0,7.0,6.0,9.0,0.0,0.0
2010-03-12,28.0,3.0,5.0,8.0,0.0,0.0
2010-03-13,37.0,9.0,9.0,5.0,0.0,0.0
2010-03-14,26.0,5.0,1.0,11.0,0.0,0.0
2010-03-15,53.0,7.0,11.0,11.0,0.0,0.0
2010-03-16,30.0,5.0,5.0,6.0,0.0,0.0
2010-03-17,39.0,4.0,11.0,9.0,0.0,0.0
2010-03-18,33.0,8.0,8.0,4.0,0.0,0.0
2010-03-19,39.0,16.0,4.0,6.0,0.0,0.0
2010-03-20,30.0,8.0,7.0,5.0,0.0,0.0
2010-03-21,39.0,8.0,9.0,10.0,0.0,0.0
2010-03-22,30.0,4.0,7.0,9.0,0.0,0.0
2010-03-23,28.0,7.0,6.0,7.0,0.0,0.0
2010-03-24,48.0,8.0,7.0,3.0,0.0,0.0
2010-03-25,34.0,6.0,11.0,9.0,0.0,0.0
2010-03-26,23.0,4.0,10.0,8.0,0.0,0.0
2010-03-27,27.0,5.0,3.0,12.0,0.0,0.0
2010-03-28,44.0,4.0,10.0,5.0,0.0,0.0
2010-03-29,37.0,8.0,8.0,10.0,0.0,0.0
2010-03-30,33.0,3.0,6.0,7.0,0.0,0.0
2010-03-31,31.0,4.0,9.0,7.0,0.0,0.0
2010-04-01,40.0,9.0,9.0,6.0,0.0,0.0
2010-04-02,29.0,5.0,7.0,8.0,0.0,0.0
2010-04-03,36.0,4.0,12.0,6.0,0.0,0.0
2010-04-04,35.0,6.0,9.0,13.0,0.0,0.0
2010-04-05,31.0,2.0,8.0,5.0,0.0,0.0
2010-04-06,37.0,6.0,9.0,10.0,0.0,0.0
2010-04-07,43.0,6.0,11.0,8.0,0.0,0.0
2010-04-08,41.0,8.0,7.0,9.0,0.0,0.0
2010-04-09,37.0,6.0,4.0,9.0,0.0,0.0
2010-04-10,33.0,5.0,11.0,9.0,0.0,0.0
2010-04-11,39.0,5.0,4.0,6.0,0.0,0.0
2010-04-12,42.0,2.0,6.0,8.0,0.0,0.0
2010-04-13,44.0,4.0,10.0,10.0,0.0,0.0
2010-04-14,37.0,2.0,3.0,3.0,0.0,0.0
2010-04-15,31.0,4.0,7.0,8.0,0.0,0.0
2010-04-16,36.0,2.0,11.0,8.0,0.0,0.0
2010-04-17,47.0,7.0,7.0,7.0,1.0,0.0
2010-04-18,42.0,2.0,12.0,4.0,0.0,0.0
2010-04-19,45.0,7.0,5.0,10.0,0.0,0.0
2010-04-20,31.0,5.0,11.0,6.0,0.0,0.0
2010-04-21,38.0,10.0,10.0,8.0,0.0,0.0
2010-04-22,29.0,5.0,4.0,11.0,0.0,0.0
2010-04-23,31.0,6.0,9.0,6.0,0.0,0.0
2010-04-24,25.0,6.0,12.0,6.0,0.0,0.0
2010-04-25,38.0,4.0,9.0,11.0,0.0,0.0
2010-04-26,35.0,9.0,9.0,8.0,1.0,0.0
2010-04-27,33.0,6.0,7.0,5.0,0.0,0.0
2010-04-28,28.0,5.0,8.0,11.0,0.0,0.0
2010-04-29,35.0,6.0,9.0,9.0,0.0,0.0
2010-04-30,42.0,10.0,8.0,8.0,0.0,0.0
2010-05-01,47.0,6.0,5.0,8.0,0.0,0.0
2010-05-02,34.0,4.0,7.0,5.0,0.0,0.0
2010-05-03,46.0,9.0,7.0,6.0,0.0,0.0
2010-05-04,52.0,4.0,9.0,6.0,0.0,0.0
2010-05-05,38.0,3.0,10.0,13.0,0.0,0.0
2010-05-06,37.0,16.0,10.0,7.0,0.0,0.0
2010-05-07,30.0,5.0,13.0,11.0,0.0,0.0
2010-05-08,35.0,5.0,6.0,3.0,0.0,0.0
2010-05-09,44.0,3.0,9.0,3.0,0.0,0.0
2010-05-10,44.0,5.0,4.0,10.0,0.0,0.0
2010-05-11,38.0,6.0,3.0,13.0,0.0,0.0
2010-05-12,42.0,9.0,5.0,8.0,0.0,0.0
2010-05-13,32.0,8.0,6.0,4.0,0.0,0.0
2010-05-14,30.0,4.0,8.0,6.0,0.0,0.0
2010-05-15,41.0,6.0,8.0,9.0,0.0,0.0
2010-05-16,35.0,8.0,9.0,7.0,0.0,0.0
2010-05-17,44.0,5.0,8.0,6.0,0.0,0.0
2010-05-18,35.0,7.0,7.0,4.0,0.0,0.0
2010-05-19,45.0,5.0,6.0,7.0,0.0,0.0
2010-05-20,37.0,3.0,2.0,6.0,0.0,0.0
2010-05-21,44.0,5.0,9.0,9.0,0.0,0.0
2010-05-22,45.0,12.0,7.0,8.0,0.0,0.0
2010-05-23,36.0,9.0,7.0,6.0,0.0,0.0
2010-05-24,32.0,3.0,10.0,9.0,0.0,0.0
2010-05-25,36.0,5.0,7.0,7.0,0.0,0.0
2010-05-26,48.0,10.0,12.0,4.0,0.0,0.0
2010-05-27,38.0,10.0,16.0,7.0,0.0,0.0
2010-05-28,42.0,6.0,8.0,7.0,0.0,0.0
2010-05-29,41.0,4.0,5.0,6.0,0.0,0.0
2010-05-30,34.0,5.0,11.0,6.0,0.0,0.0
2010-05-31,47.0,5.0,8.0,4.0,0.0,0.0
2010-06-01,47.0,3.0,6.0,6.0,0.0,0.0
2010-06-02,38.0,9.0,8.0,5.0,0.0,0.0
