DATA,DEMAIS OBITOS,INSUFICIENCIA RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG,COVID19
2010-01-01,239.0,43.0,132.0,63.0,0.0,0.0
2010-01-02,259.0,49.0,114.0,60.0,0.0,0.0
2010-01-03,228.0,47.0,103.0,58.0,0.0,0.0
2010-01-04,212.0,48.0,123.0,70.0,0.0,0.0
2010-01-05,264.0,38.0,100.0,54.0,0.0,0.0
2010-01-06,243.0,29.0,141.0,68.0,0.0,0.0
2010-01-07,220.0,49.0,125.0,56.0,0.0,0.0
2010-01-08,220.0,46.0,111.0,58.0,0.0,0.0
2010-01-09,245.0,43.0,128.0,62.0,0.0,0.0
2010-01-10,239.0,37.0,104.0,68.0,0.0,0.0
2010-01-11,270.0,48.0,125.0,64.0,0.0,0.0
2010-01-12,250.0,43.0,129.0,62.0,0.0,0.0
2010-01-13,249.0,57.0,110.0,68.0,0.0,0.0
2010-01-14,255.0,43.0,132.0,69.0,0.0,0.0
2010-01-15,230.0,45.0,118.0,64.0,0.0,0.0
2010-01-16,240.0,49.0,124.0,56.0,0.0,0.0
2010-01-17,246.0,30.0,122.0,50.0,0.0,0.0
2010-01-18,246.0,54.0,127.0,60.0,0.0,0.0
2010-01-19,236.0,48.0,115.0,50.0,0.0,0.0
2010-01-20,238.0,49.0,121.0,80.0,0.0,0.0
2010-01-21,246.0,44.0,109.0,70.0,0.0,0.0
2010-01-22,236.0,46.0,112.0,55.0,0.0,0.0
2010-01-23,238.0,48.0,111.0,75.0,0.0,0.0
2010-01-24,226.0,38.0,122.0,65.0,0.0,0.0
2010-01-25,228.0,47.0,103.0,57.0,0.0,0.0
2010-01-26,255.0,36.0,113.0,67.0,0.0,0.0
2010-01-27,247.0,39.0,93.0,74.0,0.0,0.0
2010-01-28,234.0,51.0,114.0,58.0,0.0,0.0
2010-01-29,255.0,58.0,88.0,67.0,1.0,0.0
2010-01-30,238.0,50.0,113.0,47.0,0.0,0.0
2010-01-31,216.0,54.0,106.0,75.0,0.0,0.0
2010-02-01,232.0,42.0,113.0,59.0,0.0,0.0
2010-02-02,255.0,58.0,116.0,73.0,0.0,0.0
2010-02-03,236.0,48.0,118.0,52.0,0.0,0.0
2010-02-04,255.0,63.0,142.0,79.0,0.0,0.0
2010-02-05,265.0,56.0,126.0,68.0,0.0,0.0
2010-02-06,285.0,56.0,129.0,76.0,0.0,0.0
2010-02-07,268.0,66.0,137.0,76.0,0.0,0.0
2010-02-08,308.0,61.0,139.0,69.0,0.0,0.0
2010-02-09,268.0,54.0,136.0,87.0,0.0,0.0
2010-02-10,243.0,47.0,109.0,80.0,0.0,0.0
2010-02-11,264.0,61.0,132.0,71.0,0.0,0.0
2010-02-12,259.0,49.0,151.0,84.0,0.0,0.0
2010-02-13,235.0,53.0,131.0,57.0,0.0,0.0
2010-02-14,230.0,48.0,117.0,67.0,0.0,0.0
2010-02-15,254.0,38.0,134.0,78.0,0.0,0.0
2010-02-16,239.0,43.0,139.0,84.0,0.0,0.0
2010-02-17,235.0,46.0,175.0,75.0,0.0,0.0
2010-02-18,217.0,42.0,116.0,62.0,0.0,0.0
2010-02-19,203.0,41.0,112.0,82.0,0.0,0.0
2010-02-20,226.0,44.0,133.0,71.0,0.0,0.0
2010-02-21,249.0,54.0,136.0,68.0,0.0,0.0
2010-02-22,249.0,47.0,127.0,93.0,0.0,0.0
2010-02-23,211.0,46.0,146.0,76.0,0.0,0.0
2010-02-24,256.0,58.0,129.0,83.0,0.0,0.0
2010-02-25,194.0,42.0,123.0,55.0,0.0,0.0
2010-02-26,234.0,43.0,115.0,60.0,0.0,0.0
2010-02-27,237.0,45.0,125.0,73.0,0.0,0.0
2010-02-28,242.0,50.0,116.0,67.0,0.0,0.0
2010-03-01,243.0,46.0,105.0,69.0,0.0,0.0
2010-03-02,224.0,55.0,101.0,52.0,0.0,0.0
2010-03-03,263.0,46.0,99.0,72.0,0.0,0.0
2010-03-04,253.0,53.0,112.0,55.0,1.0,0.0
2010-03-05,282.0,47.0,108.0,65.0,0.0,0.0
2010-03-06,234.0,55.0,120.0,64.0,0.0,0.0
2010-03-07,237.0,57.0,97.0,55.0,0.0,0.0
2010-03-08,209.0,46.0,109.0,69.0,0.0,0.0
2010-03-09,231.0,57.0,129.0,47.0,0.0,0.0
2010-03-10,247.0,55.0,122.0,69.0,0.0,0.0
2010-03-11,248.0,66.0,135.0,62.0,0.0,0.0
2010-03-12,257.0,53.0,122.0,73.0,0.0,0.0
2010-03-13,271.0,53.0,138.0,71.0,0.0,0.0
2010-03-14,261.0,48.0,140.0,85.0,0.0,0.0
2010-03-15,255.0,51.0,130.0,74.0,0.0,0.0
2010-03-16,229.0,58.0,119.0,54.0,0.0,0.0
2010-03-17,234.0,46.0,121.0,70.0,0.0,0.0
2010-03-18,228.0,46.0,115.0,76.0,0.0,0.0
2010-03-19,252.0,53.0,127.0,73.0,0.0,0.0
2010-03-20,260.0,49.0,114.0,74.0,0.0,0.0
2010-03-21,236.0,45.0,104.0,64.0,0.0,0.0
2010-03-22,224.0,41.0,110.0,49.0,0.0,0.0
2010-03-23,210.0,42.0,124.0,65.0,0.0,0.0
2010-03-24,239.0,54.0,116.0,56.0,0.0,0.0
2010-03-25,242.0,49.0,126.0,61.0,0.0,0.0
2010-03-26,231.0,57.0,114.0,65.0,0.0,0.0
2010-03-27,195.0,51.0,119.0,56.0,1.0,0.0
2010-03-28,236.0,43.0,132.0,82.0,0.0,0.0
2010-03-29,209.0,44.0,132.0,56.0,0.0,0.0
2010-03-30,235.0,45.0,110.0,64.0,0.0,0.0
2010-03-31,219.0,44.0,121.0,66.0,0.0,0.0
2010-04-01,215.0,31.0,121.0,63.0,0.0,0.0
2010-04-02,220.0,44.0,116.0,61.0,0.0,0.0
2010-04-03,252.0,42.0,111.0,71.0,0.0,0.0
2010-04-04,248.0,39.0,99.0,64.0,0.0,0.0
2010-04-05,250.0,39.0,121.0,59.0,0.0,0.0
2010-04-06,234.0,49.0,99.0,68.0,0.0,0.0
2010-04-07,252.0,46.0,108.0,64.0,0.0,0.0
2010-04-08,281.0,45.0,93.0,55.0,0.0,0.0
2010-04-09,255.0,50.0,110.0,68.0,0.0,0.0
2010-04-10,268.0,51.0,125.0,54.0,0.0,0.0
2010-04-11,278.0,45.0,111.0,64.0,0.0,0.0
2010-04-12,276.0,43.0,130.0,63.0,0.0,0.0
2010-04-13,277.0,46.0,125.0,50.0,0.0,0.0
2010-04-14,278.0,64.0,118.0,63.0,0.0,0.0
2010-04-15,263.0,40.0,127.0,60.0,0.0,0.0
2010-04-16,275.0,55.0,107.0,68.0,0.0,0.0
2010-04-17,272.0,53.0,141.0,60.0,1.0,0.0
2010-04-18,268.0,59.0,127.0,57.0,0.0,0.0
2010-04-19,240.0,40.0,152.0,72.0,0.0,0.0
2010-04-20,283.0,41.0,117.0,82.0,0.0,0.0
2010-04-21,290.0,54.0,142.0,69.0,0.0,0.0
2010-04-22,249.0,58.0,142.0,65.0,0.0,0.0
2010-04-23,233.0,59.0,171.0,73.0,0.0,0.0
2010-04-24,227.0,50.0,149.0,57.0,0.0,0.0
2010-04-25,231.0,57.0,130.0,74.0,0.0,0.0
2010-04-26,234.0,50.0,130.0,80.0,0.0,0.0
2010-04-27,256.0,46.0,112.0,78.0,0.0,0.0
2010-04-28,215.0,57.0,145.0,62.0,0.0,0.0
2010-04-29,217.0,44.0,126.0,61.0,0.0,0.0
2010-04-30,221.0,47.0,120.0,60.0,0.0,0.0
2010-05-01,264.0,55.0,100.0,77.0,0.0,0.0
2010-05-02,252.0,36.0,116.0,60.0,0.0,0.0
2010-05-03,235.0,54.0,107.0,56.0,1.0,0.0
2010-05-04,239.0,40.0,121.0,59.0,0.0,0.0
2010-05-05,250.0,62.0,126.0,64.0,0.0,0.0
2010-05-06,220.0,50.0,129.0,65.0,0.0,0.0
2010-05-07,249.0,57.0,136.0,75.0,0.0,0.0
2010-05-08,242.0,35.0,110.0,67.0,1.0,0.0
2010-05-09,230.0,38.0,117.0,76.0,0.0,0.0
2010-05-10,284.0,43.0,117.0,63.0,0.0,0.0
2010-05-11,230.0,56.0,149.0,44.0,1.0,0.0
2010-05-12,237.0,49.0,103.0,74.0,0.0,0.0
2010-05-13,258.0,58.0,141.0,77.0,0.0,0.0
2010-05-14,284.0,58.0,117.0,60.0,0.0,0.0
2010-05-15,260.0,44.0,124.0,70.0,0.0,0.0
2010-05-16,252.0,38.0,133.0,72.0,0.0,0.0
2010-05-17,266.0,43.0,130.0,78.0,0.0,0.0
2010-05-18,302.0,57.0,146.0,75.0,1.0,0.0
2010-05-19,269.0,44.0,133.0,58.0,0.0,0.0
2010-05-20,276.0,36.0,137.0,54.0,0.0,0.0
2010-05-21,284.0,57.0,144.0,58.0,0.0,0.0
2010-05-22,268.0,66.0,145.0,70.0,0.0,0.0
2010-05-23,273.0,45.0,142.0,53.0,0.0,0.0
2010-05-24,284.0,47.0,130.0,60.0,0.0,0.0
2010-05-25,289.0,53.0,133.0,70.0,0.0,0.0
2010-05-26,242.0,56.0,138.0,80.0,0.0,0.0
2010-05-27,264.0,52.0,130.0,68.0,0.0,0.0
2010-05-28,259.0,50.0,122.0,72.0,0.0,0.0
2010-05-29,231.0,57.0,127.0,67.0,1.0,0.0
2010-05-30,267.0,61.0,156.0,61.0,0.0,0.0
2010-05-31,278.0,47.0,124.0,66.0,0.0,0.0
2010-06-01,287.0,68.0,117.0,61.0,0.0,0.0
2010-06-02,275.0,47.0,118.0,63.0,0.0,0.0
2010-06-03,277.0,55.0,121.0,70.0,0.0,0.0
2010-06-04,261.0,59.0,156.0,69.0,0.0,0.0
2010-06-05,257.0,65.0,131.0,50.0,0.0,0.0
2010-06-06,282.0,39.0,147.0,64.0,1.0,0.0
2010-06-07,304.0,44.0,125.0,67.0,0.0,0.0
2010-06-08,290.0,54.0,132.0,61.0,0.0,0.0
2010-06-09,302.0,61.0,134.0,70.0,1.0,0.0
2010-06-10,285.0,52.0,145.0,71.0,0.0,0.0
2010-06-11,252.0,42.0,145.0,73.0,0.0,0.0
2010-06-12,288.0,49.0,153.0,64.0,0.0,0.0
2010-06-13,290.0,42.0,127.0,61.0,0.0,0.0
2010-06-14,305.0,58.0,138.0,68.0,0.0,0.0
2010-06-15,297.0,54.0,143.0,66.0,0.0,0.0
2010-06-16,304.0,65.0,160.0,65.0,0.0,0.0
2010-06-17,275.0,54.0,163.0,66.0,0.0,0.0
2010-06-18,296.0,47.0,159.0,64.0,1.0,0.0
2010-06-19,283.0,72.0,149.0,80.0,1.0,0.0
2010-06-20,296.0,54.0,149.0,76.0,0.0,0.0
2010-06-21,293.0,56.0,162.0,65.0,0.0,0.0
2010-06-22,274.0,52.0,143.0,71.0,0.0,0.0
2010-06-23,257.0,50.0,148.0,62.0,0.0,0.0
2010-06-24,294.0,58.0,124.0,75.0,0.0,0.0
2010-06-25,280.0,50.0,153.0,55.0,0.0,0.0
2010-06-26,279.0,48.0,158.0,70.0,0.0,0.0
2010-06-27,255.0,43.0,144.0,56.0,0.0,0.0
2010-06-28,273.0,66.0,150.0,60.0,0.0,0.0
2010-06-29,287.0,37.0,154.0,69.0,0.0,0.0
2010-06-30,261.0,40.0,136.0,73.0,0.0,0.0
2010-07-01,273.0,48.0,169.0,65.0,0.0,0.0
2010-07-02,271.0,45.0,135.0,67.0,0.0,0.0
2010-07-03,273.0,52.0,122.0,54.0,0.0,0.0
2010-07-04,248.0,54.0,163.0,84.0,0.0,0.0
2010-07-05,239.0,61.0,129.0,56.0,0.0,0.0
