DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,DEMAIS OBITOS,COVID19
2010-01-01,0.0,202.0,71.0,119.0,482.0,0.0
2010-01-02,0.0,204.0,92.0,131.0,502.0,0.0
2010-01-03,0.0,190.0,93.0,127.0,469.0,0.0
2010-01-04,0.0,201.0,99.0,127.0,470.0,0.0
2010-01-05,0.0,166.0,81.0,105.0,501.0,0.0
2010-01-06,0.0,233.0,82.0,127.0,484.0,0.0
2010-01-07,0.0,205.0,98.0,121.0,465.0,0.0
2010-01-08,0.0,185.0,88.0,133.0,457.0,0.0
2010-01-09,0.0,204.0,85.0,134.0,475.0,0.0
2010-01-10,0.0,190.0,98.0,135.0,504.0,0.0
2010-01-11,0.0,215.0,111.0,146.0,530.0,0.0
2010-01-12,0.0,237.0,98.0,135.0,548.0,0.0
2010-01-13,0.0,210.0,114.0,142.0,554.0,0.0
2010-01-14,0.0,234.0,96.0,152.0,527.0,0.0
2010-01-15,0.0,220.0,82.0,128.0,489.0,0.0
2010-01-16,0.0,216.0,96.0,117.0,469.0,0.0
2010-01-17,0.0,222.0,81.0,124.0,529.0,0.0
2010-01-18,0.0,213.0,100.0,130.0,505.0,0.0
2010-01-19,0.0,201.0,101.0,125.0,500.0,0.0
2010-01-20,0.0,231.0,109.0,150.0,467.0,0.0
2010-01-21,0.0,205.0,85.0,136.0,498.0,0.0
2010-01-22,0.0,191.0,99.0,115.0,498.0,0.0
2010-01-23,0.0,179.0,88.0,135.0,459.0,0.0
2010-01-24,0.0,211.0,84.0,123.0,453.0,0.0
2010-01-25,0.0,200.0,92.0,121.0,474.0,0.0
2010-01-26,0.0,196.0,83.0,151.0,503.0,0.0
2010-01-27,0.0,175.0,97.0,144.0,494.0,0.0
2010-01-28,0.0,174.0,103.0,116.0,480.0,0.0
2010-01-29,1.0,167.0,111.0,136.0,490.0,0.0
2010-01-30,0.0,199.0,112.0,103.0,471.0,0.0
2010-01-31,0.0,179.0,101.0,146.0,456.0,0.0
2010-02-01,0.0,193.0,83.0,117.0,474.0,0.0
2010-02-02,0.0,201.0,106.0,148.0,535.0,0.0
2010-02-03,0.0,201.0,95.0,132.0,490.0,0.0
2010-02-04,0.0,215.0,104.0,147.0,495.0,0.0
2010-02-05,0.0,216.0,113.0,146.0,528.0,0.0
2010-02-06,0.0,221.0,96.0,136.0,545.0,0.0
2010-02-07,1.0,234.0,114.0,133.0,520.0,0.0
2010-02-08,0.0,231.0,126.0,132.0,608.0,0.0
2010-02-09,0.0,230.0,118.0,180.0,553.0,0.0
2010-02-10,0.0,205.0,112.0,164.0,522.0,0.0
2010-02-11,1.0,218.0,113.0,153.0,497.0,0.0
2010-02-12,0.0,243.0,99.0,166.0,494.0,0.0
2010-02-13,1.0,217.0,105.0,119.0,481.0,0.0
2010-02-14,0.0,222.0,101.0,132.0,485.0,0.0
2010-02-15,0.0,225.0,95.0,161.0,537.0,0.0
2010-02-16,0.0,231.0,92.0,157.0,507.0,0.0
2010-02-17,0.0,275.0,89.0,140.0,514.0,0.0
2010-02-18,0.0,223.0,90.0,122.0,453.0,0.0
2010-02-19,0.0,189.0,85.0,152.0,418.0,0.0
2010-02-20,0.0,234.0,90.0,161.0,470.0,0.0
2010-02-21,0.0,228.0,101.0,132.0,486.0,0.0
2010-02-22,0.0,207.0,88.0,186.0,472.0,0.0
2010-02-23,0.0,224.0,88.0,142.0,471.0,0.0
2010-02-24,0.0,233.0,99.0,155.0,489.0,0.0
2010-02-25,0.0,221.0,89.0,137.0,409.0,0.0
2010-02-26,0.0,198.0,85.0,126.0,464.0,0.0
2010-02-27,0.0,200.0,91.0,128.0,455.0,0.0
2010-02-28,0.0,215.0,89.0,120.0,469.0,0.0
2010-03-01,0.0,180.0,91.0,128.0,465.0,0.0
2010-03-02,0.0,187.0,103.0,114.0,464.0,0.0
2010-03-03,0.0,186.0,84.0,140.0,487.0,0.0
2010-03-04,1.0,199.0,95.0,107.0,492.0,0.0
2010-03-05,0.0,195.0,94.0,135.0,545.0,0.0
2010-03-06,0.0,196.0,98.0,123.0,466.0,0.0
2010-03-07,0.0,182.0,108.0,110.0,483.0,0.0
2010-03-08,0.0,196.0,96.0,139.0,467.0,0.0
2010-03-09,0.0,220.0,95.0,112.0,494.0,0.0
2010-03-10,0.0,186.0,131.0,151.0,477.0,0.0
2010-03-11,0.0,229.0,128.0,120.0,507.0,0.0
2010-03-12,0.0,210.0,101.0,144.0,506.0,0.0
2010-03-13,0.0,207.0,93.0,146.0,525.0,0.0
2010-03-14,0.0,230.0,93.0,170.0,510.0,0.0
2010-03-15,0.0,222.0,94.0,136.0,510.0,0.0
2010-03-16,0.0,186.0,103.0,128.0,451.0,0.0
2010-03-17,0.0,201.0,84.0,133.0,477.0,0.0
2010-03-18,0.0,187.0,84.0,153.0,418.0,0.0
2010-03-19,0.0,217.0,102.0,132.0,474.0,0.0
