DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,DEMAIS OBITOS,COVID19
2010-01-01,0.0,56.0,28.0,32.0,175.0,0.0
2010-01-02,0.0,53.0,28.0,30.0,159.0,0.0
2010-01-03,0.0,52.0,23.0,53.0,164.0,0.0
2010-01-04,0.0,63.0,31.0,29.0,173.0,0.0
2010-01-05,0.0,54.0,27.0,34.0,190.0,0.0
2010-01-06,0.0,50.0,27.0,36.0,212.0,0.0
2010-01-07,0.0,67.0,30.0,39.0,182.0,0.0
2010-01-08,1.0,62.0,24.0,50.0,168.0,0.0
2010-01-09,0.0,54.0,29.0,34.0,151.0,0.0
2010-01-10,0.0,45.0,25.0,40.0,185.0,0.0
2010-01-11,0.0,69.0,27.0,37.0,165.0,0.0
2010-01-12,0.0,57.0,17.0,40.0,176.0,0.0
2010-01-13,0.0,54.0,15.0,39.0,188.0,0.0
2010-01-14,0.0,41.0,25.0,37.0,172.0,0.0
2010-01-15,0.0,52.0,15.0,37.0,184.0,0.0
2010-01-16,0.0,47.0,31.0,41.0,184.0,0.0
2010-01-17,0.0,48.0,27.0,49.0,164.0,0.0
2010-01-18,0.0,58.0,27.0,35.0,198.0,0.0
2010-01-19,0.0,56.0,34.0,27.0,159.0,0.0
2010-01-20,0.0,41.0,25.0,51.0,180.0,0.0
2010-01-21,1.0,53.0,18.0,40.0,159.0,0.0
2010-01-22,0.0,52.0,33.0,34.0,167.0,0.0
2010-01-23,0.0,61.0,29.0,38.0,188.0,0.0
2010-01-24,0.0,71.0,18.0,37.0,182.0,0.0
2010-01-25,0.0,52.0,35.0,35.0,172.0,0.0
2010-01-26,0.0,55.0,26.0,41.0,179.0,0.0
2010-01-27,0.0,45.0,28.0,41.0,151.0,0.0
2010-01-28,0.0,47.0,35.0,46.0,191.0,0.0
2010-01-29,0.0,47.0,34.0,30.0,196.0,0.0
2010-01-30,0.0,49.0,23.0,31.0,162.0,0.0
2010-01-31,0.0,51.0,26.0,33.0,202.0,0.0
2010-02-01,0.0,56.0,28.0,38.0,200.0,0.0
2010-02-02,0.0,60.0,32.0,36.0,185.0,0.0
2010-02-03,0.0,65.0,39.0,65.0,224.0,0.0
2010-02-04,0.0,90.0,39.0,65.0,233.0,0.0
2010-02-05,0.0,104.0,38.0,73.0,244.0,0.0
2010-02-06,0.0,91.0,42.0,72.0,218.0,0.0
2010-02-07,0.0,113.0,39.0,64.0,247.0,0.0
2010-02-08,0.0,98.0,31.0,61.0,230.0,0.0
2010-02-09,0.0,75.0,29.0,49.0,196.0,0.0
2010-02-10,0.0,73.0,29.0,57.0,184.0,0.0
2010-02-11,0.0,79.0,31.0,58.0,192.0,0.0
2010-02-12,1.0,59.0,25.0,62.0,183.0,0.0
2010-02-13,0.0,75.0,31.0,54.0,205.0,0.0
2010-02-14,0.0,62.0,22.0,47.0,164.0,0.0
2010-02-15,0.0,59.0,24.0,42.0,183.0,0.0
2010-02-16,0.0,57.0,27.0,39.0,166.0,0.0
2010-02-17,0.0,53.0,23.0,35.0,176.0,0.0
2010-02-18,0.0,45.0,20.0,37.0,157.0,0.0
2010-02-19,0.0,61.0,25.0,41.0,172.0,0.0
2010-02-20,0.0,64.0,38.0,35.0,167.0,0.0
2010-02-21,0.0,59.0,30.0,35.0,164.0,0.0
2010-02-22,0.0,56.0,26.0,42.0,183.0,0.0
2010-02-23,0.0,48.0,29.0,50.0,182.0,0.0
2010-02-24,1.0,45.0,28.0,36.0,185.0,0.0
2010-02-25,0.0,47.0,19.0,44.0,178.0,0.0
2010-02-26,0.0,42.0,31.0,31.0,148.0,0.0
2010-02-27,0.0,39.0,30.0,47.0,160.0,0.0
2010-02-28,0.0,58.0,27.0,47.0,153.0,0.0
2010-03-01,0.0,62.0,29.0,46.0,182.0,0.0
2010-03-02,0.0,44.0,28.0,42.0,172.0,0.0
2010-03-03,0.0,41.0,30.0,43.0,184.0,0.0
2010-03-04,0.0,67.0,21.0,35.0,194.0,0.0
2010-03-05,0.0,49.0,20.0,39.0,177.0,0.0
2010-03-06,0.0,55.0,27.0,34.0,194.0,0.0
2010-03-07,0.0,61.0,26.0,30.0,158.0,0.0
2010-03-08,0.0,60.0,31.0,35.0,185.0,0.0
2010-03-09,0.0,50.0,26.0,40.0,169.0,0.0
2010-03-10,0.0,49.0,33.0,37.0,184.0,0.0
2010-03-11,0.0,47.0,32.0,39.0,175.0,0.0
2010-03-12,0.0,40.0,22.0,29.0,177.0,0.0
2010-03-13,0.0,57.0,37.0,37.0,195.0,0.0
2010-03-14,0.0,40.0,21.0,53.0,159.0,0.0
2010-03-15,0.0,66.0,34.0,34.0,189.0,0.0
2010-03-16,0.0,51.0,23.0,28.0,185.0,0.0
2010-03-17,0.0,52.0,24.0,40.0,183.0,0.0
2010-03-18,0.0,59.0,30.0,33.0,181.0,0.0
2010-03-19,0.0,48.0,48.0,29.0,184.0,0.0
2010-03-20,0.0,62.0,28.0,30.0,197.0,0.0
2010-03-21,0.0,51.0,28.0,40.0,176.0,0.0
2010-03-22,0.0,48.0,19.0,35.0,165.0,0.0
2010-03-23,0.0,55.0,35.0,39.0,174.0,0.0
2010-03-24,0.0,49.0,32.0,41.0,192.0,0.0
2010-03-25,0.0,58.0,24.0,45.0,192.0,0.0
2010-03-26,0.0,43.0,22.0,36.0,170.0,0.0
2010-03-27,0.0,48.0,33.0,43.0,187.0,0.0
2010-03-28,0.0,67.0,22.0,38.0,163.0,0.0
2010-03-29,0.0,46.0,37.0,38.0,171.0,0.0
2010-03-30,0.0,61.0,28.0,41.0,172.0,0.0
2010-03-31,0.0,46.0,28.0,40.0,183.0,0.0
2010-04-01,0.0,38.0,35.0,37.0,184.0,0.0
2010-04-02,0.0,47.0,24.0,37.0,186.0,0.0
2010-04-03,0.0,50.0,34.0,39.0,172.0,0.0
2010-04-04,0.0,52.0,22.0,42.0,190.0,0.0
2010-04-05,0.0,46.0,24.0,33.0,188.0,0.0
2010-04-06,0.0,48.0,23.0,42.0,175.0,0.0
2010-04-07,0.0,51.0,26.0,35.0,181.0,0.0
2010-04-08,1.0,38.0,28.0,36.0,187.0,0.0
2010-04-09,0.0,47.0,23.0,35.0,164.0,0.0
2010-04-10,1.0,59.0,19.0,34.0,189.0,0.0
2010-04-11,0.0,57.0,28.0,28.0,194.0,0.0
2010-04-12,0.0,45.0,21.0,26.0,194.0,0.0
2010-04-13,0.0,62.0,21.0,39.0,192.0,0.0
2010-04-14,0.0,54.0,26.0,32.0,207.0,0.0
2010-04-15,0.0,44.0,30.0,38.0,192.0,0.0
2010-04-16,0.0,49.0,24.0,37.0,169.0,0.0
2010-04-17,1.0,50.0,33.0,29.0,206.0,0.0
2010-04-18,0.0,50.0,18.0,30.0,214.0,0.0
2010-04-19,0.0,55.0,33.0,38.0,180.0,0.0
2010-04-20,0.0,69.0,22.0,36.0,190.0,0.0
2010-04-21,0.0,46.0,26.0,34.0,194.0,0.0
2010-04-22,0.0,46.0,28.0,35.0,165.0,0.0
2010-04-23,0.0,51.0,35.0,30.0,178.0,0.0
2010-04-24,0.0,47.0,36.0,23.0,183.0,0.0
2010-04-25,0.0,44.0,24.0,44.0,198.0,0.0
2010-04-26,1.0,57.0,20.0,30.0,196.0,0.0
2010-04-27,0.0,50.0,39.0,32.0,173.0,0.0
2010-04-28,0.0,39.0,25.0,32.0,185.0,0.0
2010-04-29,0.0,43.0,30.0,42.0,183.0,0.0
2010-04-30,0.0,52.0,33.0,28.0,211.0,0.0
2010-05-01,0.0,53.0,26.0,27.0,213.0,0.0
2010-05-02,0.0,52.0,22.0,33.0,210.0,0.0
2010-05-03,0.0,48.0,30.0,41.0,203.0,0.0
2010-05-04,0.0,56.0,27.0,34.0,205.0,0.0
2010-05-05,0.0,53.0,32.0,39.0,189.0,0.0
2010-05-06,0.0,43.0,40.0,28.0,216.0,0.0
2010-05-07,0.0,64.0,32.0,33.0,201.0,0.0
2010-05-08,0.0,41.0,28.0,28.0,204.0,0.0
2010-05-09,0.0,52.0,22.0,25.0,206.0,0.0
2010-05-10,0.0,55.0,34.0,39.0,202.0,0.0
2010-05-11,0.0,45.0,34.0,42.0,206.0,0.0
2010-05-12,0.0,38.0,31.0,30.0,212.0,0.0
2010-05-13,0.0,45.0,33.0,28.0,216.0,0.0
2010-05-14,0.0,61.0,32.0,35.0,203.0,0.0
2010-05-15,0.0,70.0,24.0,35.0,203.0,0.0
2010-05-16,0.0,47.0,22.0,34.0,195.0,0.0
2010-05-17,0.0,56.0,33.0,29.0,221.0,0.0
2010-05-18,0.0,63.0,28.0,28.0,185.0,0.0
2010-05-19,0.0,57.0,41.0,32.0,222.0,0.0
2010-05-20,0.0,49.0,23.0,37.0,208.0,0.0
2010-05-21,0.0,63.0,25.0,47.0,204.0,0.0
2010-05-22,1.0,54.0,33.0,33.0,230.0,0.0
2010-05-23,0.0,57.0,35.0,35.0,245.0,0.0
2010-05-24,1.0,52.0,36.0,36.0,203.0,0.0
2010-05-25,0.0,50.0,30.0,50.0,195.0,0.0
2010-05-26,0.0,69.0,31.0,33.0,194.0,0.0
2010-05-27,0.0,74.0,26.0,37.0,194.0,0.0
2010-05-28,0.0,46.0,35.0,31.0,192.0,0.0
2010-05-29,0.0,48.0,26.0,30.0,187.0,0.0
2010-05-30,0.0,65.0,31.0,38.0,221.0,0.0
2010-05-31,0.0,46.0,29.0,31.0,219.0,0.0
2010-06-01,1.0,48.0,31.0,31.0,232.0,0.0
2010-06-02,0.0,53.0,35.0,29.0,219.0,0.0
2010-06-03,0.0,53.0,40.0,33.0,213.0,0.0
2010-06-04,0.0,48.0,34.0,31.0,184.0,0.0
2010-06-05,0.0,54.0,30.0,30.0,235.0,0.0
2010-06-06,0.0,58.0,27.0,32.0,220.0,0.0
2010-06-07,0.0,48.0,27.0,43.0,245.0,0.0
2010-06-08,0.0,53.0,30.0,38.0,214.0,0.0
2010-06-09,0.0,55.0,28.0,29.0,255.0,0.0
2010-06-10,0.0,69.0,37.0,41.0,215.0,0.0
2010-06-11,0.0,66.0,21.0,40.0,218.0,0.0
2010-06-12,0.0,46.0,27.0,32.0,232.0,0.0
2010-06-13,0.0,65.0,36.0,34.0,238.0,0.0
2010-06-14,0.0,50.0,32.0,27.0,266.0,0.0
2010-06-15,0.0,65.0,44.0,34.0,208.0,0.0
2010-06-16,0.0,72.0,27.0,39.0,218.0,0.0
2010-06-17,0.0,76.0,29.0,32.0,219.0,0.0
2010-06-18,0.0,68.0,43.0,29.0,214.0,0.0
2010-06-19,0.0,55.0,37.0,47.0,215.0,0.0
2010-06-20,0.0,61.0,25.0,48.0,253.0,0.0
2010-06-21,0.0,72.0,27.0,41.0,196.0,0.0
2010-06-22,0.0,58.0,31.0,45.0,227.0,0.0
2010-06-23,0.0,48.0,29.0,38.0,236.0,0.0
2010-06-24,0.0,52.0,41.0,33.0,248.0,0.0
2010-06-25,0.0,79.0,39.0,43.0,203.0,0.0
2010-06-26,0.0,59.0,32.0,34.0,198.0,0.0
2010-06-27,0.0,59.0,44.0,44.0,218.0,0.0
2010-06-28,0.0,58.0,20.0,49.0,202.0,0.0
2010-06-29,0.0,65.0,31.0,27.0,210.0,0.0
2010-06-30,0.0,62.0,40.0,32.0,179.0,0.0
2010-07-01,0.0,58.0,30.0,36.0,168.0,0.0
2010-07-02,0.0,54.0,39.0,41.0,230.0,0.0
2010-07-03,0.0,75.0,44.0,36.0,207.0,0.0
2010-07-04,0.0,57.0,37.0,39.0,224.0,0.0
2010-07-05,0.0,45.0,32.0,40.0,189.0,0.0
2010-07-06,1.0,63.0,28.0,38.0,206.0,0.0
2010-07-07,0.0,59.0,37.0,47.0,214.0,0.0
2010-07-08,0.0,55.0,21.0,48.0,208.0,0.0
2010-07-09,0.0,51.0,33.0,32.0,212.0,0.0
2010-07-10,0.0,56.0,29.0,32.0,208.0,0.0
2010-07-11,0.0,68.0,28.0,34.0,182.0,0.0
2010-07-12,0.0,56.0,41.0,22.0,213.0,0.0
2010-07-13,0.0,71.0,43.0,18.0,225.0,0.0
2010-07-14,0.0,68.0,31.0,42.0,253.0,0.0
